id,name,family,muscle_primary,muscle_secondary,compound,equipment,unilateral,level_min,load_mode,rm_reference,rm_factor,seconds_per_rep,setup_s,objectives,rep_ranges,weight_box,weight_gym,weight_bodyweight,priority,movement_group,notes
barbell_row,Barbell Row,barbell,dos,biceps|epaules_post,true,barbell,false,debutant,1rm,deadlift,0.5,3,30,hypertrophie|force|endurance,"{""hypertrophie"": [8, 12], ""force"": [3, 5], ""endurance"": [15, 20]}",8,8,0,3,row,
pendlay_row,Pendlay Row,barbell,dos,biceps,true,barbell,false,inter,1rm,deadlift,0.5,3,30,hypertrophie|force,"{""hypertrophie"": [8, 12], ""force"": [3, 5]}",8,8,0,3,row,
db_row,DB Row,dumbbell,dos,biceps,true,dumbbell|bench,true,debutant,rpe,,,2,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",8,8,0,4,row,
lat_pulldown,Lat Pulldown,machine,dos,biceps,true,lat_pulldown,false,debutant,rpe,,,3,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,8,0,2,pull_v,
seated_cable_row,Seated Cable Row,cable,dos,biceps|epaules_post,true,cable_row,false,debutant,rpe,,,3,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,8,0,4,row,
chest_supported_row,Chest Supported Row,dumbbell,dos,biceps|epaules_post,true,dumbbell|bench_incline,false,debutant,rpe,,,3,25,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",8,8,0,4,row,
t_bar_row,T-Bar Row,barbell,dos,biceps,true,barbell|landmine,false,inter,rpe,,,3,30,hypertrophie|force,"{""hypertrophie"": [8, 12], ""force"": [3, 5]}",8,8,0,4,row,
machine_row,Machine Row,machine,dos,biceps,true,row_machine,false,debutant,rpe,,,3,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,8,0,4,row,
strict_pull_up,Strict Pull-Ups,bodyweight,dos,biceps,true,rig,false,inter,bodyweight,,,3,10,hypertrophie|force|endurance,"{""hypertrophie"": [8, 12], ""force"": [3, 5], ""endurance"": [15, 20]}",8,8,0,1,pull_v,lesté possible en force ; sub débutant : lat pulldown ou banded
chin_up,Chin-Ups,bodyweight,dos,biceps,true,rig,false,inter,bodyweight,,,3,10,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",8,8,0,1,pull_v,
straight_arm_pulldown,Straight Arm Pulldown,cable,dos,,false,cable,false,debutant,rpe,,,3,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,pull_v,
rack_pull,Rack Pull,barbell,dos,ischios|fessiers,true,barbell|rack,false,inter,1rm,deadlift,1.1,3,60,force,"{""force"": [3, 5]}",8,8,0,5,hinge,
back_extension,Back Extension,bodyweight,lombaires,fessiers|ischios,false,ghd,false,debutant,bodyweight,,,3,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",6,6,0,3,hinge,
barbell_curl,Barbell Curl,barbell,biceps,,false,barbell,false,debutant,rpe,,,3,15,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",6,6,0,3,curl,
db_curl,DB Curl,dumbbell,biceps,,false,dumbbell,true,debutant,rpe,,,3,15,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",6,6,0,3,curl,
hammer_curl,Hammer Curl,dumbbell,biceps,avant_bras,false,dumbbell,false,debutant,rpe,,,3,15,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",6,6,0,3,curl,
incline_db_curl,Incline DB Curl,dumbbell,biceps,,false,dumbbell|bench_incline,false,inter,rpe,,,3,20,hypertrophie,"{""hypertrophie"": [8, 12]}",6,6,0,3,curl,
cable_curl,Cable Curl,cable,biceps,,false,cable,false,debutant,rpe,,,3,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,curl,
preacher_curl,Preacher Curl,machine,biceps,,false,preacher_bench,false,inter,rpe,,,3,20,hypertrophie,"{""hypertrophie"": [8, 12]}",0,6,0,3,curl,
back_squat_m,Back Squat,barbell,quadriceps,fessiers|tronc,true,barbell|rack,false,debutant,1rm,back_squat,1.0,4,60,hypertrophie|force|endurance,"{""hypertrophie"": [8, 12], ""force"": [3, 5], ""endurance"": [15, 20]}",8,8,0,1,squat,même mouvement que le catalogue metcon
front_squat_m,Front Squat,barbell,quadriceps,tronc|fessiers,true,barbell|rack,false,inter,1rm,back_squat,0.85,4,60,hypertrophie|force,"{""hypertrophie"": [8, 12], ""force"": [3, 5]}",8,8,0,2,squat,
leg_press,Leg Press,machine,quadriceps,fessiers,true,leg_press,false,debutant,rpe,,,3,40,hypertrophie|force|endurance,"{""hypertrophie"": [8, 12], ""force"": [3, 5], ""endurance"": [15, 20]}",0,8,0,3,squat,
hack_squat,Hack Squat,machine,quadriceps,fessiers,true,hack_squat,false,inter,rpe,,,3,40,hypertrophie|force,"{""hypertrophie"": [8, 12], ""force"": [3, 5]}",0,8,0,4,squat,
bulgarian_split_squat,Bulgarian Split Squat,dumbbell,quadriceps,fessiers,true,dumbbell|bench,true,inter,rpe,,,3,30,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",8,8,0,5,lunge,
romanian_deadlift,Romanian Deadlift,barbell,ischios,fessiers|lombaires,true,barbell,false,debutant,1rm,deadlift,0.7,4,30,hypertrophie|force|endurance,"{""hypertrophie"": [8, 12], ""force"": [3, 5], ""endurance"": [15, 20]}",8,8,0,1,hinge,
db_rdl,DB Romanian Deadlift,dumbbell,ischios,fessiers,true,dumbbell,false,debutant,rpe,,,4,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",8,8,0,3,hinge,
leg_extension,Leg Extension,machine,quadriceps,,false,leg_extension,false,debutant,rpe,,,3,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,squat,
leg_curl,Leg Curl,machine,ischios,,false,leg_curl,false,debutant,rpe,,,3,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,2,curl,
hip_thrust,Hip Thrust,barbell,fessiers,ischios,true,barbell|bench,false,debutant,1rm,hip_thrust,1.0,3,60,hypertrophie|force|endurance,"{""hypertrophie"": [8, 12], ""force"": [3, 5], ""endurance"": [15, 20]}",8,8,0,1,hip_ext,
glute_bridge,Glute Bridge,bodyweight,fessiers,ischios,false,,false,debutant,bodyweight,,,3,10,hypertrophie|endurance,"{""hypertrophie"": [10, 15], ""endurance"": [15, 20]}",6,6,6,3,hip_ext,à deux jambes ; variante facile sans matériel
goblet_squat_m,Goblet Squats,kettlebell,quadriceps,fessiers,true,kettlebell|dumbbell,false,debutant,rpe,,,3,15,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",8,8,0,5,squat,même mouvement que le catalogue metcon
db_walking_lunge,DB Lunges,dumbbell,quadriceps,fessiers,true,dumbbell,true,debutant,rpe,,,2,15,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",8,8,0,5,lunge,même mouvement que le catalogue metcon
step_up_m,Box Step-Ups,dumbbell,quadriceps,fessiers,true,box|dumbbell,true,debutant,rpe,,,2,15,endurance,"{""endurance"": [15, 20]}",8,8,0,5,lunge,
good_morning,Good Morning,barbell,ischios,lombaires,true,barbell|rack,false,inter,rpe,,,4,30,hypertrophie,"{""hypertrophie"": [8, 12]}",8,8,0,4,hinge,
sumo_deadlift,Sumo Deadlift,barbell,fessiers,ischios|quadriceps,true,barbell,false,inter,1rm,deadlift,1.0,3,45,force|hypertrophie,"{""hypertrophie"": [8, 12], ""force"": [3, 5]}",8,8,0,4,hinge,
standing_calf_raise,Standing Calf Raise,machine,mollets,,false,calf_machine|dumbbell,false,debutant,rpe,,,2,15,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,raise,
seated_calf_raise,Seated Calf Raise,machine,mollets,,false,calf_machine,false,debutant,rpe,,,2,15,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,raise,
nordic_curl,Nordic Curl,bodyweight,ischios,,false,rig,false,avance,bodyweight,,,5,20,hypertrophie,"{""hypertrophie"": [8, 12]}",6,6,0,4,curl,
hanging_leg_raise,Hanging Leg Raise,bodyweight,tronc,hip_flexors,false,rig,false,inter,bodyweight,,,3,10,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",6,6,0,3,core_flex,
cable_crunch,Cable Crunch,cable,tronc,,false,cable,false,debutant,rpe,,,2,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,core_flex,
ab_wheel,Ab Wheel Rollout,bodyweight,tronc,lats,false,ab_wheel,false,inter,bodyweight,,,4,10,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",6,6,0,3,core_anti,
pallof_press,Pallof Press,cable,tronc,,false,cable|band,true,debutant,rpe,,,3,20,endurance,"{""endurance"": [15, 20]}",0,6,0,3,core_anti,
dead_bug,Dead Bug,bodyweight,tronc,,false,,false,debutant,bodyweight,,,3,5,endurance,"{""endurance"": [15, 20]}",6,6,6,3,core_anti,
side_plank,Side Plank,bodyweight,tronc,,false,,true,debutant,bodyweight,,,1,5,endurance,"{""endurance"": [15, 20]}",6,6,6,3,core_anti,unité secondes
plank_m,Plank Hold,bodyweight,tronc,,false,,false,debutant,bodyweight,,,1,5,endurance,"{""endurance"": [15, 20]}",6,6,6,3,core_anti,unité secondes ; même mouvement que le catalogue metcon
russian_twist,Russian Twist,bodyweight,tronc,obliques,false,wallball|dumbbell,false,debutant,rpe,,,1,10,endurance,"{""endurance"": [15, 20]}",6,6,0,3,core_flex,
farmer_carry_m,Farmer Carry,carry,tronc,avant_bras|trapezes,true,dumbbell|kettlebell,false,debutant,rpe,,,1,20,endurance,"{""endurance"": [15, 20]}",8,8,0,3,carry,unité mètres ; même mouvement que le catalogue metcon
suitcase_carry,Suitcase Carry,carry,tronc,obliques,true,dumbbell|kettlebell,true,debutant,rpe,,,1,20,endurance,"{""endurance"": [15, 20]}",8,8,0,3,carry,unité mètres
decline_bench_press,Decline Bench Press,barbell,pecs,triceps,true,barbell|bench_decline|rack,false,inter,1rm,bench,1.05,3,45,hypertrophie|force,"{""hypertrophie"": [8, 12], ""force"": [3, 5]}",0,8,0,3,press_h,
decline_db_press,Decline DB Press,dumbbell,pecs,triceps,true,dumbbell|bench_decline,false,inter,rpe,,,3,30,hypertrophie,"{""hypertrophie"": [8, 12]}",0,8,0,4,press_h,
machine_incline_press,Machine Incline Press,machine,pecs,epaules_ant|triceps,true,chest_press_machine,false,debutant,rpe,,,3,30,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,8,0,4,press_h,
db_pullover,DB Pullover,dumbbell,pecs,dos|triceps,false,dumbbell|bench,false,inter,rpe,,,3,20,hypertrophie,"{""hypertrophie"": [8, 12]}",6,6,0,3,pull_v,
cable_pullover,Cable Pullover,cable,pecs,dos,false,cable,false,inter,rpe,,,3,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,pull_v,
incline_db_fly,Incline DB Fly,dumbbell,pecs,,false,dumbbell|bench_incline,false,inter,rpe,,,3,20,hypertrophie,"{""hypertrophie"": [8, 12]}",6,6,0,3,fly,
low_cable_fly,Low To High Cable Fly,cable,pecs,epaules_ant,false,cable,false,debutant,rpe,,,3,30,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,fly,
wide_push_up,Wide Push-Ups,bodyweight,pecs,triceps,true,,false,debutant,bodyweight,,,2,10,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",8,8,6,5,press_h,
decline_push_up,Decline Push-Ups,bodyweight,pecs,epaules_ant|triceps,true,box,false,inter,bodyweight,,,2,10,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",8,8,0,5,press_h,
machine_shoulder_press,Machine Shoulder Press,machine,epaules,triceps,true,shoulder_press_machine,false,debutant,rpe,,,3,30,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,8,0,3,press_v,
behind_neck_press,Behind The Neck Press,barbell,epaules,triceps,true,barbell|rack,false,avance,1rm,press,0.85,3,45,hypertrophie,"{""hypertrophie"": [8, 12]}",8,8,0,4,press_v,
upright_row,Upright Row,barbell,epaules,trapezes,true,barbell|cable,false,inter,rpe,,,2,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,8,0,5,raise,
bent_over_lateral_raise,Bent Over Lateral Raise,dumbbell,epaules_post,haut_dos,false,dumbbell,false,debutant,rpe,,,2,15,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",6,6,0,3,fly,
one_arm_incline_lateral_raise,Incline One-Arm Lateral Raise,dumbbell,epaules,,false,dumbbell|bench_incline,true,avance,rpe,,,2,20,hypertrophie,"{""hypertrophie"": [8, 12]}",6,6,0,3,raise,
rear_delt_machine,Rear Delt Machine,machine,epaules_post,haut_dos,false,pec_deck,false,debutant,rpe,,,2,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,fly,
barbell_front_raise,Barbell Front Raise,barbell,epaules_ant,,false,barbell,false,debutant,rpe,,,2,15,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",6,6,0,3,raise,
cable_front_raise,Cable Front Raise,cable,epaules_ant,,false,cable,false,debutant,rpe,,,2,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,raise,
pike_push_up_m,Pike Push-Ups,bodyweight,epaules,triceps,true,,false,debutant,bodyweight,,,3,10,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",8,8,6,5,press_v,même mouvement que le catalogue metcon
handstand_push_up_m,Handstand Push-Ups,bodyweight,epaules,triceps,true,wall,false,avance,bodyweight,,,3,15,hypertrophie|force,"{""hypertrophie"": [8, 12], ""force"": [3, 5]}",0,8,6,5,press_v,même mouvement que le catalogue metcon
external_rotation,External Rotation (L-Fly),cable,coiffe,,false,cable|band|dumbbell,true,debutant,rpe,,,3,15,endurance,"{""endurance"": [15, 20]}",0,6,0,3,fly,
internal_rotation,Internal Rotation,cable,coiffe,,false,cable|band,true,debutant,rpe,,,3,15,endurance,"{""endurance"": [15, 20]}",0,6,0,3,fly,
yates_row,Yates Row,barbell,trapezes,dos|biceps,true,barbell,false,inter,1rm,deadlift,0.5,3,30,hypertrophie|force,"{""hypertrophie"": [8, 12], ""force"": [3, 5]}",8,8,0,3,row,
supinated_barbell_row,Supinated Barbell Row,barbell,dos,biceps|trapezes,true,barbell,false,inter,1rm,deadlift,0.45,3,30,hypertrophie,"{""hypertrophie"": [8, 12]}",8,8,0,3,row,
one_arm_machine_row,One-Arm Machine Row,machine,dos,biceps,true,row_machine,true,debutant,rpe,,,3,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,8,0,5,row,
one_arm_cable_row,One-Arm Cable Row,cable,dos,biceps,true,cable_row,true,debutant,rpe,,,3,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,8,0,5,row,
inverted_row,Inverted Row,bodyweight,dos,biceps|trapezes,true,rig|rings,false,debutant,bodyweight,,,3,10,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",8,8,0,5,row,= Ring Rows du catalogue metcon
barbell_shrug,Barbell Shrug,barbell,trapezes,,false,barbell,false,debutant,1rm,deadlift,0.6,2,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",6,6,0,3,shrug,
db_shrug,DB Shrug,dumbbell,trapezes,,false,dumbbell,false,debutant,rpe,,,2,15,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",6,6,0,3,shrug,
machine_shrug,Machine Shrug,machine,trapezes,,false,shrug_machine|calf_machine,false,debutant,rpe,,,2,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,shrug,
cable_shrug,Cable Shrug,cable,trapezes,,false,cable,false,debutant,rpe,,,2,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,shrug,
wide_grip_pull_up,Wide Grip Pull-Ups,bodyweight,dos,biceps,true,rig,false,inter,bodyweight,,,3,10,hypertrophie|force,"{""hypertrophie"": [8, 12], ""force"": [3, 5]}",8,8,0,1,pull_v,
neutral_grip_pull_up,Neutral Grip Pull-Ups,bodyweight,dos,biceps,true,rig,false,inter,bodyweight,,,3,10,hypertrophie|force|endurance,"{""hypertrophie"": [8, 12], ""force"": [3, 5], ""endurance"": [15, 20]}",8,8,0,1,pull_v,
close_grip_pull_up,Close Grip Pull-Ups,bodyweight,dos,biceps,true,rig,false,inter,bodyweight,,,3,10,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",8,8,0,1,pull_v,
machine_pullover,Machine Pullover,machine,dos,pecs,false,pullover_machine,false,debutant,rpe,,,3,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,pull_v,
converging_pulldown,Converging Machine Pulldown,machine,dos,biceps,true,lat_pulldown,false,debutant,rpe,,,3,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,8,0,2,pull_v,
one_arm_pulldown,One-Arm Lat Pulldown,cable,dos,biceps,true,cable,true,debutant,rpe,,,3,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,8,0,2,pull_v,
close_grip_pulldown,Close Grip Lat Pulldown,machine,dos,biceps,true,lat_pulldown,false,debutant,rpe,,,3,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,8,0,2,pull_v,
supinated_pulldown,Supinated Lat Pulldown,machine,dos,biceps,true,lat_pulldown,false,debutant,rpe,,,3,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,8,0,2,pull_v,
low_cable_skull_crusher,Lying Cable Triceps Extension,cable,triceps,,false,cable|bench,false,inter,rpe,,,3,25,hypertrophie,"{""hypertrophie"": [8, 12]}",0,6,0,3,triceps_ext,
machine_dips,Machine Dips,machine,triceps,pecs,true,dip_machine,false,debutant,rpe,,,3,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,8,0,3,press_h,
close_grip_dips,Close Grip Dips,bodyweight,triceps,pecs,true,dip_station,false,inter,bodyweight,,,3,20,hypertrophie|force,"{""hypertrophie"": [8, 12], ""force"": [3, 5]}",8,8,0,2,press_h,
wall_triceps_extension,Wall Triceps Extension,bodyweight,triceps,,false,,false,debutant,bodyweight,,,3,5,endurance,"{""endurance"": [15, 20]}",6,6,6,3,triceps_ext,
cable_overhead_extension,Cable Overhead Triceps Extension,cable,triceps,,false,cable,false,debutant,rpe,,,3,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,triceps_ext,
one_arm_overhead_extension,One-Arm Overhead Triceps Extension,dumbbell,triceps,,false,dumbbell,true,inter,rpe,,,3,15,hypertrophie,"{""hypertrophie"": [8, 12]}",6,6,0,3,triceps_ext,
machine_triceps_extension,Machine Triceps Extension,machine,triceps,,false,triceps_machine,false,debutant,rpe,,,3,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,triceps_ext,
diamond_push_up,Diamond Push-Ups,bodyweight,triceps,pecs,true,,false,inter,bodyweight,,,2,10,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",8,8,6,4,press_h,
tate_press,Tate Press,dumbbell,triceps,,false,dumbbell|bench,false,avance,rpe,,,3,20,hypertrophie,"{""hypertrophie"": [8, 12]}",6,6,0,3,triceps_ext,
rope_pushdown,Rope Triceps Pushdown,cable,triceps,,false,cable,false,debutant,rpe,,,2,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,triceps_ext,
one_arm_pushdown,One-Arm Triceps Pushdown,cable,triceps,,false,cable,true,debutant,rpe,,,2,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,triceps_ext,
reverse_grip_pushdown,Reverse Grip Pushdown,cable,triceps,,false,cable,false,debutant,rpe,,,2,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,triceps_ext,
db_kickback,DB Kickback,dumbbell,triceps,,false,dumbbell|bench,true,debutant,rpe,,,2,15,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",6,6,0,3,triceps_ext,
cable_kickback,Cable Kickback,cable,triceps,,false,cable,true,debutant,rpe,,,2,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,triceps_ext,
preacher_barbell_curl,Preacher Barbell Curl,barbell,biceps,,false,barbell|preacher_bench,false,debutant,rpe,,,3,20,hypertrophie,"{""hypertrophie"": [8, 12]}",0,6,0,3,curl,
