wod_ref,member_ref,jour,unite,valeur,categorie
w008,m122,2026-08-04,reps,145,RX
w008,m069,2026-08-04,reps,173,RX
w008,m026,2026-08-04,reps,170,RX
w008,m098,2026-08-04,reps,184,RX
w008,m143,2026-08-04,reps,108,RX
w008,m095,2026-08-04,reps,202,RX
w009,m043,2026-08-05,temps,12:27,RX
w009,m077,2026-08-05,temps,14:41,Scaled
w009,m145,2026-08-05,temps,18:09,RX
w009,m003,2026-08-05,temps,13:03,Scaled
w009,m014,2026-08-05,temps,14:29,Scaled
w009,m002,2026-08-05,temps,13:16,RX
w009,m019,2026-08-05,temps,14:04,RX
w009,m020,2026-08-05,temps,13:46,RX
w009,m022,2026-08-05,temps,14:28,RX
w009,m056,2026-08-05,temps,16:05,RX
w009,m061,2026-08-05,temps,15:28,RX
w009,m058,2026-08-05,temps,15:54,Scaled
w009,m101,2026-08-05,temps,15:24,Scaled
w009,m001,2026-08-05,temps,12:05,Scaled
w009,m031,2026-08-05,temps,14:07,RX
w009,m054,2026-08-05,temps,13:56,Scaled
w009,m110,2026-08-05,temps,14:52,RX
w009,m063,2026-08-05,temps,14:42,RX
w009,m050,2026-08-05,temps,13:46,RX
w009,m099,2026-08-05,temps,16:01,RX
w009,m123,2026-08-05,temps,17:10,RX
w009,m030,2026-08-05,temps,16:18,Scaled
w009,m028,2026-08-05,temps,16:00,RX
w009,m144,2026-08-05,temps,17:47,RX
w010,m039,2026-08-06,charge,115,RX
w010,m096,2026-08-06,charge,100,Scaled
w010,m048,2026-08-06,charge,105,RX
w010,m025,2026-08-06,charge,120,RX
w010,m112,2026-08-06,charge,85,RX
w010,m035,2026-08-06,charge,130,Scaled
w010,m057,2026-08-06,charge,120,Scaled
w010,m097,2026-08-06,charge,100,RX
w010,m037,2026-08-06,charge,120,Scaled
w010,m027,2026-08-06,charge,120,RX
w010,m029,2026-08-06,charge,135,RX
w010,m101,2026-08-06,charge,85,RX
w010,m114,2026-08-06,charge,95,RX
w010,m131,2026-08-06,charge,95,RX
w010,m082,2026-08-06,charge,105,RX
w010,m135,2026-08-06,charge,80,RX
w010,m044,2026-08-06,charge,100,RX
w010,m063,2026-08-06,charge,115,RX
w010,m034,2026-08-06,charge,115,RX
w010,m085,2026-08-06,charge,100,RX
w010,m106,2026-08-06,charge,95,Scaled
w010,m019,2026-08-06,charge,110,Scaled
w010,m002,2026-08-06,charge,130,RX
w010,m132,2026-08-06,charge,80,Scaled
w010,m140,2026-08-06,charge,70,RX
w010,m089,2026-08-06,charge,100,RX
w010,m084,2026-08-06,charge,100,RX
w010,m113,2026-08-06,charge,90,RX
w010,m134,2026-08-06,charge,65,RX
w010,m145,2026-08-06,charge,80,RX
w010,m080,2026-08-06,charge,80,RX
w010,m070,2026-08-06,charge,120,RX
w010,m058,2026-08-06,charge,100,Scaled
w011,m002,2026-08-07,reps,252,RX
w011,m069,2026-08-07,reps,177,RX
w011,m031,2026-08-07,reps,202,RX
w011,m077,2026-08-07,reps,227,RX
w011,m098,2026-08-07,reps,189,Scaled
w011,m074,2026-08-07,reps,177,Scaled
w011,m137,2026-08-07,reps,162,RX
w011,m124,2026-08-07,reps,157,Scaled
w011,m028,2026-08-07,reps,212,Scaled
w011,m075,2026-08-07,reps,187,Scaled
w011,m016,2026-08-07,reps,242,RX
w011,m094,2026-08-07,reps,146,Scaled
w011,m118,2026-08-07,reps,185,RX
w011,m054,2026-08-07,reps,189,Scaled
w011,m093,2026-08-07,reps,173,Scaled
w011,m083,2026-08-07,reps,163,RX
w011,m135,2026-08-07,reps,153,RX
w011,m032,2026-08-07,reps,234,RX
w011,m140,2026-08-07,reps,141,Scaled
w011,m148,2026-08-07,reps,115,Scaled
w011,m018,2026-08-07,reps,222,Scaled
w011,m076,2026-08-07,reps,188,RX
w011,m109,2026-08-07,reps,190,RX
w011,m130,2026-08-07,reps,123,Scaled
w011,m103,2026-08-07,reps,152,RX
w011,m104,2026-08-07,reps,154,RX
w011,m106,2026-08-07,reps,193,RX
w011,m143,2026-08-07,reps,119,RX
w011,m072,2026-08-07,reps,201,RX
w011,m102,2026-08-07,reps,193,RX
w013,m109,2026-08-10,temps,17:02,Scaled
w013,m103,2026-08-10,temps,15:48,Scaled
w013,m029,2026-08-10,temps,14:04,RX
w013,m117,2026-08-10,temps,20:04,Scaled
w013,m066,2026-08-10,temps,14:43,RX
w013,m097,2026-08-10,temps,17:56,Scaled
w013,m001,2026-08-10,temps,11:39,RX
w013,m027,2026-08-10,temps,16:43,RX
w013,m035,2026-08-10,temps,15:19,RX
w013,m023,2026-08-10,temps,13:44,Scaled
w013,m006,2026-08-10,temps,13:18,Scaled
w013,m061,2026-08-10,temps,15:53,Scaled
w013,m095,2026-08-10,temps,17:29,Scaled
w013,m057,2026-08-10,temps,15:03,Scaled
w013,m060,2026-08-10,temps,15:24,RX
w013,m046,2026-08-10,temps,14:46,Scaled
w013,m022,2026-08-10,temps,13:28,RX
w013,m059,2026-08-10,temps,14:50,RX
w013,m049,2026-08-10,temps,16:13,RX
w013,m007,2026-08-10,temps,13:51,Scaled
w013,m025,2026-08-10,temps,14:16,RX
w013,m038,2026-08-10,temps,15:25,Scaled
w013,m111,2026-08-10,temps,13:47,RX
w013,m087,2026-08-10,temps,17:04,RX
w013,m147,2026-08-10,temps,17:46,Scaled
w013,m024,2026-08-10,temps,15:41,RX
w013,m026,2026-08-10,temps,15:14,RX
w013,m138,2026-08-10,temps,17:06,RX
w013,m099,2026-08-10,temps,16:13,Scaled
w013,m119,2026-08-10,temps,16:36,RX
w013,m080,2026-08-10,temps,15:46,RX
w013,m047,2026-08-10,temps,13:47,RX
w013,m128,2026-08-10,temps,18:11,RX
w013,m120,2026-08-10,temps,15:43,RX
w013,m148,2026-08-10,temps,16:49,RX
w013,m010,2026-08-10,temps,13:43,Scaled
w013,m072,2026-08-10,temps,15:56,RX
w013,m044,2026-08-10,temps,14:53,RX
w013,m079,2026-08-10,temps,13:23,RX
w013,m064,2026-08-10,temps,13:35,RX
w013,m084,2026-08-10,temps,13:30,RX
w013,m048,2026-08-10,temps,14:49,Scaled
w014,m039,2026-08-11,charge,120,RX
w014,m123,2026-08-11,charge,90,RX
w014,m128,2026-08-11,charge,80,RX
w014,m094,2026-08-11,charge,105,Scaled
w014,m141,2026-08-11,charge,70,RX
w014,m089,2026-08-11,charge,100,RX
w014,m081,2026-08-11,charge,90,Scaled
w014,m111,2026-08-11,charge,90,RX
w014,m131,2026-08-11,charge,90,RX
w014,m108,2026-08-11,charge,85,RX
w014,m122,2026-08-11,charge,105,RX
w014,m140,2026-08-11,charge,75,RX
w014,m130,2026-08-11,charge,80,RX
w014,m084,2026-08-11,charge,110,Scaled
w014,m150,2026-08-11,charge,65,RX
w014,m031,2026-08-11,charge,105,Scaled
w014,m127,2026-08-11,charge,85,RX
w014,m019,2026-08-11,charge,115,RX
w014,m037,2026-08-11,charge,110,RX
w014,m027,2026-08-11,charge,100,RX
w014,m014,2026-08-11,charge,135,RX
w014,m080,2026-08-11,charge,115,Scaled
w014,m052,2026-08-11,charge,100,RX
w014,m093,2026-08-11,charge,95,RX
w014,m096,2026-08-11,charge,105,RX
w014,m030,2026-08-11,charge,100,Scaled
w014,m107,2026-08-11,charge,105,RX
w014,m053,2026-08-11,charge,115,RX
w014,m016,2026-08-11,charge,115,Scaled
w014,m114,2026-08-11,charge,85,Scaled
w014,m003,2026-08-11,charge,115,RX
w014,m121,2026-08-11,charge,85,RX
w014,m143,2026-08-11,charge,75,RX
w014,m011,2026-08-11,charge,110,RX
w014,m060,2026-08-11,charge,110,RX
w014,m124,2026-08-11,charge,85,RX
w014,m061,2026-08-11,charge,115,Scaled
w014,m066,2026-08-11,charge,100,RX
w014,m009,2026-08-11,charge,150,Scaled
w014,m142,2026-08-11,charge,85,RX
w014,m024,2026-08-11,charge,120,RX
w014,m132,2026-08-11,charge,95,RX
w014,m028,2026-08-11,charge,130,RX
w014,m043,2026-08-11,charge,105,RX
w015,m016,2026-08-12,reps,213,RX
w015,m046,2026-08-12,reps,154,RX
w015,m083,2026-08-12,reps,143,RX
w015,m017,2026-08-12,reps,204,Scaled
w015,m092,2026-08-12,reps,159,RX
w015,m072,2026-08-12,reps,190,RX
w015,m113,2026-08-12,reps,163,RX
w015,m129,2026-08-12,reps,189,RX
w015,m066,2026-08-12,reps,186,RX
w015,m093,2026-08-12,reps,172,RX
w015,m049,2026-08-12,reps,206,RX
w015,m042,2026-08-12,reps,199,Scaled
w015,m010,2026-08-12,reps,228,Scaled
w015,m051,2026-08-12,reps,216,RX
w015,m059,2026-08-12,reps,200,Scaled
w015,m135,2026-08-12,reps,163,RX
w015,m078,2026-08-12,reps,192,RX
w015,m103,2026-08-12,reps,136,Scaled
w015,m024,2026-08-12,reps,231,RX
w015,m076,2026-08-12,reps,173,RX
w015,m096,2026-08-12,reps,165,Scaled
w015,m068,2026-08-12,reps,198,RX
w015,m098,2026-08-12,reps,162,Scaled
w015,m061,2026-08-12,reps,193,RX
w015,m026,2026-08-12,reps,171,RX
w015,m071,2026-08-12,reps,176,RX
w015,m138,2026-08-12,reps,144,RX
w015,m143,2026-08-12,reps,176,RX
w015,m145,2026-08-12,reps,173,RX
w015,m014,2026-08-12,reps,218,RX
w015,m105,2026-08-12,reps,176,RX
w015,m141,2026-08-12,reps,160,Scaled
w015,m109,2026-08-12,reps,198,RX
w015,m073,2026-08-12,reps,180,Scaled
w015,m121,2026-08-12,reps,172,RX
w016,m012,2026-08-13,temps,14:44,RX
w016,m006,2026-08-13,temps,15:00,RX
w016,m094,2026-08-13,temps,15:02,RX
w016,m090,2026-08-13,temps,15:41,Scaled
w016,m076,2026-08-13,temps,15:32,RX
w016,m061,2026-08-13,temps,16:14,RX
w016,m003,2026-08-13,temps,14:09,RX
w016,m056,2026-08-13,temps,15:41,RX
w016,m041,2026-08-13,temps,12:56,RX
w016,m033,2026-08-13,temps,13:38,RX
w016,m073,2026-08-13,temps,15:33,RX
w016,m045,2026-08-13,temps,14:53,Scaled
w016,m043,2026-08-13,temps,15:52,RX
w016,m123,2026-08-13,temps,18:29,Scaled
w016,m008,2026-08-13,temps,12:33,RX
w016,m007,2026-08-13,temps,14:15,RX
w016,m077,2026-08-13,temps,16:56,Scaled
w016,m054,2026-08-13,temps,15:51,RX
w016,m025,2026-08-13,temps,15:20,RX
w016,m063,2026-08-13,temps,14:40,RX
w016,m133,2026-08-13,temps,17:57,RX
w016,m048,2026-08-13,temps,14:32,RX
w016,m020,2026-08-13,temps,15:00,Scaled
w017,m066,2026-08-14,charge,125,RX
w017,m056,2026-08-14,charge,110,RX
w017,m023,2026-08-14,charge,130,Scaled
w017,m103,2026-08-14,charge,80,RX
w017,m135,2026-08-14,charge,75,RX
w017,m119,2026-08-14,charge,90,RX
w017,m027,2026-08-14,charge,110,RX
w017,m149,2026-08-14,charge,60,RX
w017,m126,2026-08-14,charge,70,RX
w017,m132,2026-08-14,charge,90,RX
w017,m101,2026-08-14,charge,85,RX
w017,m117,2026-08-14,charge,90,RX
w017,m076,2026-08-14,charge,105,RX
w017,m145,2026-08-14,charge,80,RX
w017,m067,2026-08-14,charge,105,RX
w017,m055,2026-08-14,charge,110,Scaled
w017,m010,2026-08-14,charge,130,Scaled
w017,m078,2026-08-14,charge,115,Scaled
w017,m139,2026-08-14,charge,55,Scaled
w017,m024,2026-08-14,charge,110,RX
w017,m046,2026-08-14,charge,135,Scaled
w017,m094,2026-08-14,charge,100,RX
w017,m083,2026-08-14,charge,105,RX
w017,m084,2026-08-14,charge,105,Scaled
w017,m005,2026-08-14,charge,130,RX
w017,m049,2026-08-14,charge,105,RX
w017,m051,2026-08-14,charge,115,RX
w017,m137,2026-08-14,charge,65,RX
w017,m120,2026-08-14,charge,90,RX
w017,m071,2026-08-14,charge,115,RX
w017,m110,2026-08-14,charge,90,RX
w017,m140,2026-08-14,charge,85,Scaled
w017,m141,2026-08-14,charge,75,RX
w017,m112,2026-08-14,charge,90,RX
w017,m102,2026-08-14,charge,100,RX
w017,m146,2026-08-14,charge,60,RX
w017,m022,2026-08-14,charge,125,Scaled
w017,m087,2026-08-14,charge,125,Scaled
w017,m030,2026-08-14,charge,120,RX
w017,m092,2026-08-14,charge,85,Scaled
w017,m070,2026-08-14,charge,95,RX
w017,m134,2026-08-14,charge,60,Scaled
w017,m006,2026-08-14,charge,130,Scaled
w017,m089,2026-08-14,charge,115,Scaled
w017,m068,2026-08-14,charge,110,Scaled
w017,m031,2026-08-14,charge,115,RX
w017,m047,2026-08-14,charge,100,RX
w017,m026,2026-08-14,charge,125,Scaled
w017,m048,2026-08-14,charge,105,RX
w017,m113,2026-08-14,charge,90,RX
w017,m090,2026-08-14,charge,110,Scaled
w017,m028,2026-08-14,charge,110,RX
w017,m019,2026-08-14,charge,115,RX
w019,m013,2026-08-17,reps,139,RX
w019,m087,2026-08-17,reps,205,RX
w019,m017,2026-08-17,reps,201,Scaled
w019,m064,2026-08-17,reps,171,Scaled
w019,m074,2026-08-17,reps,182,RX
w019,m032,2026-08-17,reps,197,Scaled
w019,m031,2026-08-17,reps,196,RX
w019,m018,2026-08-17,reps,189,RX
w019,m116,2026-08-17,reps,184,RX
w019,m026,2026-08-17,reps,216,RX
w019,m049,2026-08-17,reps,192,RX
w019,m128,2026-08-17,reps,151,RX
w019,m047,2026-08-17,reps,213,RX
w019,m115,2026-08-17,reps,157,RX
w019,m069,2026-08-17,reps,166,Scaled
w019,m124,2026-08-17,reps,165,Scaled
w019,m045,2026-08-17,reps,183,RX
w019,m030,2026-08-17,reps,222,RX
w019,m038,2026-08-17,reps,213,Scaled
w019,m022,2026-08-17,reps,212,Scaled
w019,m127,2026-08-17,reps,136,RX
w019,m058,2026-08-17,reps,198,RX
w019,m065,2026-08-17,reps,189,Scaled
w019,m004,2026-08-17,reps,249,RX
w019,m035,2026-08-17,reps,194,RX
w019,m016,2026-08-17,reps,212,RX
w019,m040,2026-08-17,reps,171,RX
w019,m011,2026-08-17,reps,241,Scaled
w019,m042,2026-08-17,reps,156,Scaled
w019,m067,2026-08-17,reps,156,Scaled
w019,m055,2026-08-17,reps,181,RX
w019,m079,2026-08-17,reps,166,RX
w019,m015,2026-08-17,reps,251,RX
w019,m109,2026-08-17,reps,137,RX
w019,m001,2026-08-17,reps,262,RX
w019,m098,2026-08-17,reps,178,RX
w019,m073,2026-08-17,reps,170,RX
w019,m080,2026-08-17,reps,175,Scaled
w019,m019,2026-08-17,reps,199,RX
w019,m110,2026-08-17,reps,147,Scaled
w019,m070,2026-08-17,reps,208,Scaled
w020,m013,2026-08-18,temps,15:16,RX
w020,m085,2026-08-18,temps,17:59,RX
w020,m023,2026-08-18,temps,14:20,RX
w020,m053,2026-08-18,temps,14:33,Scaled
