slot_ref,member_ref,statut
s0034,m060,attended
s0041,m060,attended
s0035,m061,attended
s0057,m062,attended
s0037,m062,attended
s0064,m062,attended
s0040,m063,attended
s0064,m063,attended
s0046,m063,attended
s0059,m063,attended
s0034,m064,no_show
s0059,m064,no_show
s0057,m065,attended
s0048,m065,attended
s0062,m065,attended
s0037,m066,attended
s0063,m066,attended
s0045,m066,attended
s0057,m066,attended
s0057,m067,attended
s0051,m067,attended
s0047,m068,attended
s0034,m068,attended
s0051,m071,attended
s0061,m072,attended
s0037,m072,attended
s0061,m074,attended
s0043,m074,attended
s0050,m074,attended
s0060,m075,attended
s0064,m076,attended
s0056,m076,attended
s0037,m076,attended
s0037,m077,attended
s0045,m077,attended
s0044,m078,attended
s0065,m078,attended
s0036,m079,attended
s0051,m079,attended
s0064,m080,attended
s0064,m081,attended
s0061,m081,attended
s0038,m082,attended
s0056,m082,attended
s0059,m083,attended
s0041,m083,attended
s0063,m084,attended
s0064,m084,attended
s0064,m085,no_show
s0036,m085,attended
s0054,m085,attended
s0042,m085,attended
s0057,m086,attended
s0045,m086,attended
s0036,m087,attended
s0065,m087,no_show
s0064,m088,attended
s0063,m088,attended
s0057,m088,attended
s0064,m089,attended
s0034,m089,attended
s0054,m092,attended
s0049,m093,attended
s0038,m093,attended
s0065,m094,attended
s0055,m094,attended
s0046,m095,attended
s0064,m095,attended
s0058,m095,attended
s0035,m095,attended
s0053,m096,attended
s0041,m096,attended
s0043,m097,attended
s0056,m097,attended
s0061,m097,attended
s0045,m099,attended
s0050,m099,attended
s0061,m099,attended
s0052,m100,attended
s0064,m100,attended
s0043,m101,attended
s0063,m101,attended
s0050,m101,attended
s0036,m102,attended
s0063,m102,attended
s0054,m102,attended
s0048,m103,attended
s0044,m103,attended
s0065,m105,attended
s0053,m105,attended
s0046,m105,attended
s0035,m105,attended
s0052,m106,attended
s0065,m106,attended
s0041,m106,attended
s0035,m106,attended
s0055,m107,attended
s0051,m107,attended
s0046,m108,attended
s0065,m108,attended
s0034,m109,attended
s0044,m110,attended
s0064,m110,attended
s0050,m110,attended
s0059,m111,attended
s0064,m111,attended
s0065,m112,attended
s0036,m113,attended
s0054,m113,attended
s0065,m113,attended
s0042,m113,attended
s0061,m114,attended
s0043,m114,attended
s0056,m115,attended
s0038,m115,attended
s0055,m116,attended
s0044,m117,attended
s0057,m117,attended
s0057,m118,attended
s0061,m118,attended
s0037,m118,attended
s0047,m119,attended
s0058,m119,attended
s0052,m119,no_show
s0035,m119,attended
s0044,m120,attended
s0051,m121,no_show
s0057,m121,attended
s0049,m122,attended
s0051,m123,attended
s0056,m124,attended
s0051,m124,attended
s0043,m124,attended
s0053,m125,attended
s0040,m125,attended
s0057,m126,attended
s0044,m126,attended
s0063,m127,attended
s0049,m127,attended
s0057,m127,attended
s0062,m128,attended
s0057,m128,attended
s0045,m129,attended
s0049,m130,attended
s0035,m130,attended
s0061,m130,attended
s0043,m130,attended
s0051,m131,attended
s0061,m131,attended
s0044,m131,attended
s0062,m133,attended
s0055,m133,attended
s0042,m133,attended
s0051,m133,attended
s0037,m134,attended
s0051,m135,attended
s0037,m135,attended
s0044,m136,attended
s0056,m136,attended
s0051,m136,attended
s0047,m138,attended
s0054,m138,attended
s0062,m139,attended
s0039,m140,attended
s0050,m140,attended
s0061,m141,attended
s0043,m142,attended
s0048,m142,attended
s0056,m144,attended
s0044,m144,attended
s0061,m144,attended
s0051,m146,attended
s0038,m146,attended
s0056,m146,attended
s0043,m148,attended
s0056,m148,attended
s0038,m148,attended
s0038,m149,attended
s0063,m149,attended
s0049,m149,attended
s0038,m150,attended
s0098,m001,booked
s0089,m002,booked
s0090,m003,booked
s0099,m005,booked
s0081,m005,booked
s0069,m005,booked
s0078,m006,booked
s0071,m006,booked
s0096,m006,booked
s0088,m006,booked
s0073,m007,booked
s0097,m007,booked
s0079,m007,booked
s0077,m008,booked
s0098,m008,booked
s0090,m008,booked
s0084,m009,booked
s0090,m009,booked
s0076,m009,booked
s0071,m010,booked
s0091,m011,booked
s0080,m012,booked
s0098,m012,booked
s0069,m014,booked
s0094,m014,booked
s0087,m014,booked
s0097,m015,booked
s0067,m015,booked
s0084,m016,booked
s0095,m016,booked
s0099,m017,booked
s0098,m017,booked
s0096,m017,booked
s0076,m017,booked
s0096,m018,booked
s0072,m018,booked
s0086,m019,booked
s0092,m020,booked
s0071,m020,booked
s0097,m020,booked
s0074,m020,booked
s0084,m021,booked
s0097,m022,booked
s0099,m022,booked
s0069,m022,booked
s0098,m023,booked
s0099,m023,booked
s0099,m024,booked
s0099,m025,booked
s0096,m025,booked
s0076,m025,booked
s0071,m026,booked
s0095,m026,booked
s0099,m026,booked
s0099,m027,booked
s0081,m027,booked
s0075,m027,booked
s0099,m028,booked
s0082,m028,booked
s0084,m029,booked
s0088,m029,booked
s0097,m031,booked
s0095,m031,booked
s0089,m031,booked
s0098,m032,booked
s0084,m032,booked
s0070,m032,booked
s0099,m033,booked
s0097,m033,booked
s0099,m034,booked
s0089,m034,booked
s0070,m035,booked
s0095,m035,booked
s0081,m036,booked
s0069,m036,booked
s0098,m037,booked
s0091,m037,booked
s0086,m037,booked
s0077,m037,booked
s0069,m038,booked
s0097,m038,booked
s0094,m038,booked
s0075,m038,booked
s0069,m039,booked
s0081,m039,booked
s0098,m039,booked
s0075,m039,booked
s0068,m040,booked
s0079,m040,booked
s0097,m040,booked
s0098,m041,booked
s0077,m041,booked
s0084,m041,booked
s0094,m042,booked
s0090,m042,booked
s0082,m043,booked
s0097,m043,booked
s0077,m043,booked
s0071,m045,booked
s0082,m045,booked
s0098,m045,booked
s0095,m045,booked
s0098,m046,booked
s0078,m046,booked
s0083,m047,booked
s0070,m047,booked
s0098,m047,booked
s0087,m048,booked
s0083,m049,booked
s0098,m049,booked
s0097,m050,booked
s0093,m050,booked
s0081,m050,booked
s0088,m051,booked
s0097,m051,booked
s0072,m051,booked
s0076,m051,booked
s0068,m052,booked
s0088,m052,booked
s0093,m052,booked
s0072,m053,booked
s0078,m053,booked
s0078,m054,booked
s0098,m054,booked
s0083,m055,booked
s0081,m056,booked
s0069,m056,booked
s0075,m057,booked
s0089,m058,booked
s0090,m059,booked
s0067,m060,booked
s0074,m060,booked
s0083,m061,booked
s0077,m062,booked
s0089,m062,booked
s0083,m063,booked
s0097,m063,booked
s0068,m063,booked
s0079,m064,booked
s0074,m064,booked
s0084,m065,booked
s0089,m065,booked
s0072,m065,booked
s0095,m066,booked
s0082,m066,booked
s0090,m066,booked
s0098,m066,booked
s0072,m067,booked
s0096,m067,booked
s0098,m067,booked
s0073,m068,booked
s0067,m069,booked
s0072,m070,booked
s0087,m070,booked
s0078,m071,booked
s0077,m072,booked
s0088,m072,booked
s0082,m073,booked
s0088,m073,booked
s0097,m074,booked
s0076,m074,booked
s0096,m074,booked
s0069,m075,booked
s0075,m075,booked
s0088,m075,booked
s0088,m076,booked
s0082,m076,booked
s0097,m076,booked
s0070,m076,booked
s0082,m077,booked
s0075,m077,booked
s0089,m078,booked
s0076,m078,booked
s0096,m079,booked
s0069,m079,booked
s0093,m080,booked
s0081,m080,booked
s0076,m081,booked
s0070,m081,booked
s0077,m082,booked
s0097,m082,booked
s0079,m083,booked
s0092,m083,booked
s0088,m084,booked
s0075,m085,booked
s0092,m085,booked
s0087,m085,booked
s0069,m085,booked
s0096,m086,booked
s0076,m086,booked
s0072,m086,booked
s0093,m087,booked
s0075,m087,booked
s0076,m088,booked
s0097,m088,booked
s0085,m089,booked
s0074,m089,booked
s0080,m089,booked
s0074,m090,booked
s0086,m090,booked
s0090,m091,booked
s0072,m092,booked
s0070,m093,booked
s0076,m093,booked
s0090,m094,booked
s0082,m094,booked
s0083,m095,booked
s0073,m095,booked
s0086,m095,booked
s0072,m095,booked
s0082,m097,booked
s0088,m097,booked
s0076,m097,booked
s0085,m098,booked
s0071,m099,booked
s0096,m099,booked
s0083,m099,booked
s0076,m100,booked
s0096,m100,booked
s0086,m100,booked
s0083,m101,booked
s0096,m101,booked
s0088,m101,booked
s0069,m102,booked
s0081,m102,booked
s0091,m103,booked
s0083,m103,booked
s0073,m104,booked
s0070,m104,booked
s0080,m105,booked
s0085,m105,booked
s0074,m105,booked
s0069,m105,booked
s0086,m106,booked
s0068,m106,booked
s0092,m106,booked
s0089,m107,booked
s0082,m107,booked
s0092,m108,booked
s0079,m108,booked
s0073,m109,booked
s0067,m109,booked
s0080,m109,booked
s0077,m110,booked
s0080,m110,booked
s0072,m110,booked
s0073,m111,booked
s0087,m112,booked
s0093,m112,booked
s0075,m112,booked
s0093,m113,booked
s0078,m113,booked
s0069,m113,booked
s0081,m113,booked
s0089,m114,booked
s0082,m115,booked
s0072,m115,booked
s0089,m116,booked
s0082,m117,booked
s0088,m117,booked
s0076,m118,booked
s0096,m118,booked
s0084,m118,booked
s0085,m119,booked
s0074,m119,booked
s0080,m119,booked
s0068,m119,booked
s0089,m120,booked
s0077,m121,booked
s0095,m121,booked
s0096,m123,booked
s0090,m124,booked
s0073,m125,booked
s0079,m125,booked
s0076,m126,booked
s0072,m126,booked
s0089,m127,booked
s0094,m127,booked
s0068,m128,booked
s0089,m128,booked
s0083,m128,booked
s0090,m129,booked
s0083,m130,booked
s0095,m130,booked
s0071,m130,booked
s0095,m131,booked
s0078,m131,booked
s0090,m131,booked
s0078,m132,booked
s0090,m133,booked
s0070,m133,booked
s0083,m133,booked
s0094,m133,booked
s0094,m134,booked
s0084,m134,booked
s0083,m135,booked
s0095,m135,booked
s0082,m136,booked
s0070,m136,booked
s0089,m137,booked
s0087,m138,booked
s0091,m138,booked
s0085,m140,booked
s0089,m141,booked
s0076,m142,booked
s0087,m142,booked
s0094,m143,booked
s0069,m144,booked
s0096,m144,booked
s0069,m145,booked
s0087,m145,booked
s0077,m146,booked
s0090,m146,booked
s0076,m147,booked
s0070,m148,booked
s0088,m148,booked
s0083,m148,booked
s0071,m149,booked
s0091,m149,booked
s0078,m149,booked
s0078,m150,booked
s0117,m003,booked
s0130,m005,booked
s0111,m006,booked
s0125,m007,booked
s0104,m008,booked
s0132,m009,booked
s0109,m009,booked
s0129,m010,booked
s0120,m014,booked
s0113,m015,booked
s0132,m017,booked
s0109,m018,booked
s0122,m019,booked
s0106,m020,booked
s0118,m020,booked
s0128,m021,booked
s0132,m022,booked
s0120,m022,booked
s0131,m023,booked
s0131,m024,booked
s0129,m025,booked
s0131,m026,booked
s0109,m026,booked
s0111,m027,booked
s0120,m027,booked
s0104,m028,booked
s0103,m029,booked
s0109,m030,booked
s0128,m031,booked
s0115,m032,booked
s0131,m033,booked
s0132,m033,booked
s0104,m034,booked
s0130,m036,booked
s0113,m037,booked
s0130,m038,booked
s0111,m038,booked
s0114,m039,booked
s0120,m039,booked
s0122,m040,booked
s0132,m041,booked
s0131,m042,booked
s0130,m043,booked
s0110,m045,booked
s0127,m045,booked
s0132,m046,booked
s0109,m047,booked
s0102,m048,booked
s0109,m049,booked
s0126,m050,booked
s0132,m051,booked
s0117,m051,booked
s0108,m052,booked
s0131,m053,booked
s0132,m054,booked
s0130,m055,booked
s0108,m056,booked
s0130,m060,booked
s0120,m062,booked
s0130,m063,booked
s0119,m063,booked
s0100,m064,booked
s0123,m065,booked
s0127,m066,booked
s0132,m066,booked
s0132,m067,booked
s0121,m073,booked
s0104,m074,booked
s0102,m075,booked
s0132,m076,booked
s0129,m076,booked
s0131,m077,booked
s0104,m078,booked
s0104,m079,booked
s0102,m080,booked
s0122,m081,booked
s0123,m082,booked
s0107,m083,booked
s0123,m084,booked
s0108,m085,booked
s0102,m085,booked
s0116,m086,booked
s0131,m087,booked
s0126,m087,booked
s0123,m088,booked
s0101,m089,booked
s0125,m089,booked
s0112,m090,booked
s0110,m092,booked
s0130,m093,booked
s0130,m094,booked
s0113,m095,booked
s0106,m095,booked
s0118,m096,booked
s0121,m097,booked
s0110,m098,booked
s0129,m099,booked
s0131,m100,booked
s0110,m101,booked
s0130,m101,booked
s0116,m102,booked
s0118,m105,booked
s0107,m106,booked
s0119,m107,booked
s0119,m108,booked
s0131,m110,booked
s0118,m111,booked
s0114,m113,booked
s0105,m113,booked
s0131,m114,booked
s0110,m115,booked
s0130,m116,booked
s0118,m117,booked
s0124,m117,booked
s0122,m118,booked
s0115,m118,booked
s0125,m119,booked
s0130,m119,booked
s0122,m121,booked
s0131,m122,booked
s0130,m124,booked
s0118,m125,booked
s0117,m126,booked
s0105,m127,booked
s0118,m128,booked
s0127,m128,booked
s0130,m130,booked
s0116,m130,booked
s0127,m131,booked
s0122,m131,booked
s0123,m133,booked
s0103,m133,booked
s0115,m134,booked
s0127,m135,booked
s0109,m136,booked
s0116,m137,booked
s0121,m138,booked
s0123,m140,booked
s0126,m142,booked
s0131,m143,booked
s0130,m144,booked
s0130,m146,booked
s0123,m148,booked
s0128,m148,booked
s0109,m149,booked
s0103,m150,booked
s0094,m059,booked
s0094,m033,booked
s0094,m019,booked
s0094,m068,booked
s0094,m111,booked
s0094,m057,booked
s0094,m058,booked
s0094,m102,booked
s0094,m120,booked
s0094,m017,booked
s0094,m085,booked
s0094,m071,booked
