member_ref,mouvement,badge_key,palier,debloque
m003,box_jump,mv_box_jump_100,100,true
m003,box_jump,mv_box_jump_500,500,true
m003,pull_up,mv_pullup_100,100,true
m003,squat,mv_squat_100,100,true
m003,squat,mv_squat_500,500,true
m003,squat,mv_squat_1000,1000,true
m003,squat,mv_squat_5000,5000,true
m004,clean_and_jerk,mv_cj_100,100,true
m004,clean_and_jerk,mv_cj_500,500,true
m004,clean_and_jerk,mv_cj_1000,1000,true
m004,clean_and_jerk,mv_cj_5000,5000,true
m004,double_under,mv_du_500,500,true
m004,double_under,mv_du_2000,2000,true
m004,double_under,mv_du_5000,5000,true
m004,double_under,mv_du_10000,10000,true
m004,toes_to_bar,mv_t2b_100,100,true
m004,snatch,mv_snatch_100,100,true
m004,snatch,mv_snatch_500,500,true
m004,snatch,mv_snatch_1000,1000,true
m004,ring_muscle_up,mv_ring_mu_50,50,true
m005,ring_muscle_up,mv_ring_mu_50,50,true
m005,double_under,mv_du_500,500,true
m005,double_under,mv_du_2000,2000,true
m005,double_under,mv_du_5000,5000,true
m005,hspu,mv_hspu_100,100,true
m005,hspu,mv_hspu_500,500,true
m005,hspu,mv_hspu_1000,1000,true
m005,snatch,mv_snatch_100,100,true
m005,snatch,mv_snatch_500,500,true
m005,box_jump,mv_box_jump_100,100,true
m005,box_jump,mv_box_jump_500,500,true
m005,box_jump,mv_box_jump_1000,1000,true
m005,clean_and_jerk,mv_cj_100,100,true
m006,box_jump,mv_box_jump_100,100,true
m006,box_jump,mv_box_jump_500,500,true
m006,squat,mv_squat_100,100,true
m006,squat,mv_squat_500,500,true
m006,snatch,mv_snatch_100,100,true
m006,snatch,mv_snatch_500,500,true
m006,snatch,mv_snatch_1000,1000,true
m006,snatch,mv_snatch_5000,5000,true
m006,ring_muscle_up,mv_ring_mu_50,50,true
m006,wall_ball,mv_wallball_100,100,true
m006,wall_ball,mv_wallball_500,500,true
m006,wall_ball,mv_wallball_1000,1000,true
m006,wall_ball,mv_wallball_5000,5000,true
m006,pull_up,mv_pullup_100,100,true
m006,pull_up,mv_pullup_500,500,true
m006,pull_up,mv_pullup_1000,1000,true
m006,pull_up,mv_pullup_5000,5000,true
m006,hspu,mv_hspu_100,100,true
m007,hspu,mv_hspu_100,100,true
m007,hspu,mv_hspu_500,500,true
m007,hspu,mv_hspu_1000,1000,true
m007,chest_to_bar,mv_c2b_100,100,true
m007,chest_to_bar,mv_c2b_500,500,true
m007,box_jump,mv_box_jump_100,100,true
m007,box_jump,mv_box_jump_500,500,true
m007,snatch,mv_snatch_100,100,true
m007,snatch,mv_snatch_500,500,true
m008,squat,mv_squat_100,100,true
m008,wall_ball,mv_wallball_100,100,true
m009,chest_to_bar,mv_c2b_100,100,true
m009,chest_to_bar,mv_c2b_500,500,true
m009,chest_to_bar,mv_c2b_1000,1000,true
m009,toes_to_bar,mv_t2b_100,100,true
m009,toes_to_bar,mv_t2b_500,500,true
m009,toes_to_bar,mv_t2b_1000,1000,true
m009,snatch,mv_snatch_100,100,true
m009,snatch,mv_snatch_500,500,true
m009,snatch,mv_snatch_1000,1000,true
m009,snatch,mv_snatch_5000,5000,true
m010,double_under,mv_du_500,500,true
m010,double_under,mv_du_2000,2000,true
m010,snatch,mv_snatch_100,100,true
m010,snatch,mv_snatch_500,500,true
m010,deadlift,mv_deadlifts_100,100,true
m010,deadlift,mv_deadlifts_500,500,true
m010,deadlift,mv_deadlifts_1000,1000,true
m010,ring_muscle_up,mv_ring_mu_50,50,true
m010,ring_muscle_up,mv_ring_mu_200,200,true
m010,ring_muscle_up,mv_ring_mu_500,500,true
m010,clean_and_jerk,mv_cj_100,100,true
m010,clean_and_jerk,mv_cj_500,500,true
m011,hspu,mv_hspu_100,100,true
m011,hspu,mv_hspu_500,500,true
m011,hspu,mv_hspu_1000,1000,true
m011,double_under,mv_du_500,500,true
m012,clean_and_jerk,mv_cj_100,100,true
m012,clean_and_jerk,mv_cj_500,500,true
m012,clean_and_jerk,mv_cj_1000,1000,true
m012,hspu,mv_hspu_100,100,true
m012,hspu,mv_hspu_500,500,true
m012,deadlift,mv_deadlifts_100,100,true
m012,deadlift,mv_deadlifts_500,500,true
m012,deadlift,mv_deadlifts_1000,1000,true
m012,double_under,mv_du_500,500,true
m012,double_under,mv_du_2000,2000,true
m012,double_under,mv_du_5000,5000,true
m012,double_under,mv_du_10000,10000,true
m012,wall_ball,mv_wallball_100,100,true
m014,chest_to_bar,mv_c2b_100,100,true
m014,clean_and_jerk,mv_cj_100,100,true
m014,clean_and_jerk,mv_cj_500,500,true
m014,clean_and_jerk,mv_cj_1000,1000,true
m014,clean_and_jerk,mv_cj_5000,5000,true
m014,toes_to_bar,mv_t2b_100,100,true
m015,wall_ball,mv_wallball_100,100,true
m015,wall_ball,mv_wallball_500,500,true
m015,wall_ball,mv_wallball_1000,1000,true
m015,deadlift,mv_deadlifts_100,100,true
m015,deadlift,mv_deadlifts_500,500,true
m015,double_under,mv_du_500,500,true
m015,double_under,mv_du_2000,2000,true
m015,double_under,mv_du_5000,5000,true
m015,double_under,mv_du_10000,10000,true
m015,ring_muscle_up,mv_ring_mu_50,50,true
m015,ring_muscle_up,mv_ring_mu_200,200,true
m015,ring_muscle_up,mv_ring_mu_500,500,true
m016,double_under,mv_du_500,500,true
m016,double_under,mv_du_2000,2000,true
m016,double_under,mv_du_5000,5000,true
m016,double_under,mv_du_10000,10000,true
m016,pull_up,mv_pullup_100,100,true
m016,pull_up,mv_pullup_500,500,true
m016,pull_up,mv_pullup_1000,1000,true
m016,pull_up,mv_pullup_5000,5000,true
m016,squat,mv_squat_100,100,true
m016,toes_to_bar,mv_t2b_100,100,true
m016,toes_to_bar,mv_t2b_500,500,true
m016,toes_to_bar,mv_t2b_1000,1000,true
m017,box_jump,mv_box_jump_100,100,true
m017,box_jump,mv_box_jump_500,500,true
m017,chest_to_bar,mv_c2b_100,100,true
m018,deadlift,mv_deadlifts_100,100,true
m018,pull_up,mv_pullup_100,100,true
m018,pull_up,mv_pullup_500,500,true
m018,pull_up,mv_pullup_1000,1000,true
m019,toes_to_bar,mv_t2b_100,100,true
m019,wall_ball,mv_wallball_100,100,true
m019,wall_ball,mv_wallball_500,500,true
m019,wall_ball,mv_wallball_1000,1000,true
m019,wall_ball,mv_wallball_5000,5000,true
m019,ring_muscle_up,mv_ring_mu_50,50,true
m019,ring_muscle_up,mv_ring_mu_200,200,true
m019,ring_muscle_up,mv_ring_mu_500,500,true
m019,pull_up,mv_pullup_100,100,true
m019,pull_up,mv_pullup_500,500,true
m019,pull_up,mv_pullup_1000,1000,true
m019,pull_up,mv_pullup_5000,5000,true
m019,snatch,mv_snatch_100,100,true
m019,snatch,mv_snatch_500,500,true
m019,snatch,mv_snatch_1000,1000,true
m019,squat,mv_squat_100,100,true
m019,squat,mv_squat_500,500,true
m019,squat,mv_squat_1000,1000,true
m020,ring_muscle_up,mv_ring_mu_50,50,true
m020,toes_to_bar,mv_t2b_100,100,true
m020,toes_to_bar,mv_t2b_500,500,true
m020,toes_to_bar,mv_t2b_1000,1000,true
m021,toes_to_bar,mv_t2b_100,100,true
m021,toes_to_bar,mv_t2b_500,500,true
m021,toes_to_bar,mv_t2b_1000,1000,true
m021,pull_up,mv_pullup_100,100,true
m021,pull_up,mv_pullup_500,500,true
m021,pull_up,mv_pullup_1000,1000,true
m021,pull_up,mv_pullup_5000,5000,true
m021,deadlift,mv_deadlifts_100,100,true
m021,deadlift,mv_deadlifts_500,500,true
m021,squat,mv_squat_100,100,true
m021,squat,mv_squat_500,500,true
m021,squat,mv_squat_1000,1000,true
m021,clean_and_jerk,mv_cj_100,100,true
m021,clean_and_jerk,mv_cj_500,500,true
m021,clean_and_jerk,mv_cj_1000,1000,true
m021,clean_and_jerk,mv_cj_5000,5000,true
m022,box_jump,mv_box_jump_100,100,true
m022,toes_to_bar,mv_t2b_100,100,true
m022,toes_to_bar,mv_t2b_500,500,true
m022,deadlift,mv_deadlifts_100,100,true
m022,deadlift,mv_deadlifts_500,500,true
m022,deadlift,mv_deadlifts_1000,1000,true
m023,wall_ball,mv_wallball_100,100,true
m023,wall_ball,mv_wallball_500,500,true
m023,squat,mv_squat_100,100,true
m023,squat,mv_squat_500,500,true
m023,squat,mv_squat_1000,1000,true
m024,deadlift,mv_deadlifts_100,100,true
m024,deadlift,mv_deadlifts_500,500,true
m024,box_jump,mv_box_jump_100,100,true
m024,box_jump,mv_box_jump_500,500,true
m024,box_jump,mv_box_jump_1000,1000,true
m025,wall_ball,mv_wallball_100,100,true
m025,wall_ball,mv_wallball_500,500,true
m025,wall_ball,mv_wallball_1000,1000,true
m025,wall_ball,mv_wallball_5000,5000,true
m025,double_under,mv_du_500,500,true
m025,double_under,mv_du_2000,2000,true
m025,double_under,mv_du_5000,5000,true
m025,double_under,mv_du_10000,10000,true
m025,clean_and_jerk,mv_cj_100,100,true
m025,clean_and_jerk,mv_cj_500,500,true
m025,snatch,mv_snatch_100,100,true
m025,snatch,mv_snatch_500,500,true
m025,snatch,mv_snatch_1000,1000,true
m025,snatch,mv_snatch_5000,5000,true
m025,deadlift,mv_deadlifts_100,100,true
m025,deadlift,mv_deadlifts_500,500,true
m025,ring_muscle_up,mv_ring_mu_50,50,true
m025,ring_muscle_up,mv_ring_mu_200,200,true
m025,ring_muscle_up,mv_ring_mu_500,500,true
m026,double_under,mv_du_500,500,true
m026,double_under,mv_du_2000,2000,true
m026,double_under,mv_du_5000,5000,true
m026,double_under,mv_du_10000,10000,true
m026,toes_to_bar,mv_t2b_100,100,true
m026,toes_to_bar,mv_t2b_500,500,true
m026,toes_to_bar,mv_t2b_1000,1000,true
m026,box_jump,mv_box_jump_100,100,true
m026,box_jump,mv_box_jump_500,500,true
m026,squat,mv_squat_100,100,true
m026,clean_and_jerk,mv_cj_100,100,true
m026,clean_and_jerk,mv_cj_500,500,true
m026,deadlift,mv_deadlifts_100,100,true
m026,hspu,mv_hspu_100,100,true
m026,hspu,mv_hspu_500,500,true
m026,hspu,mv_hspu_1000,1000,true
m027,hspu,mv_hspu_100,100,true
m027,toes_to_bar,mv_t2b_100,100,true
m027,toes_to_bar,mv_t2b_500,500,true
m027,toes_to_bar,mv_t2b_1000,1000,true
m027,snatch,mv_snatch_100,100,true
m027,snatch,mv_snatch_500,500,true
m028,deadlift,mv_deadlifts_100,100,true
m028,deadlift,mv_deadlifts_500,500,true
m028,deadlift,mv_deadlifts_1000,1000,true
m028,deadlift,mv_deadlifts_5000,5000,true
m028,pull_up,mv_pullup_100,100,true
m028,box_jump,mv_box_jump_100,100,true
m028,box_jump,mv_box_jump_500,500,true
m028,box_jump,mv_box_jump_1000,1000,true
m028,hspu,mv_hspu_100,100,true
m028,hspu,mv_hspu_500,500,true
m028,hspu,mv_hspu_1000,1000,true
m028,chest_to_bar,mv_c2b_100,100,true
m028,ring_muscle_up,mv_ring_mu_50,50,true
m028,ring_muscle_up,mv_ring_mu_200,200,true
m028,ring_muscle_up,mv_ring_mu_500,500,true
m028,toes_to_bar,mv_t2b_100,100,true
m028,toes_to_bar,mv_t2b_500,500,true
m029,box_jump,mv_box_jump_100,100,true
m029,box_jump,mv_box_jump_500,500,true
m029,snatch,mv_snatch_100,100,true
m029,snatch,mv_snatch_500,500,true
m029,snatch,mv_snatch_1000,1000,true
m029,snatch,mv_snatch_5000,5000,true
m029,clean_and_jerk,mv_cj_100,100,true
m029,clean_and_jerk,mv_cj_500,500,true
m029,clean_and_jerk,mv_cj_1000,1000,true
m029,clean_and_jerk,mv_cj_5000,5000,true
m029,double_under,mv_du_500,500,true
m029,double_under,mv_du_2000,2000,true
m029,double_under,mv_du_5000,5000,true
m029,double_under,mv_du_10000,10000,true
m030,ring_muscle_up,mv_ring_mu_50,50,true
m030,ring_muscle_up,mv_ring_mu_200,200,true
m030,wall_ball,mv_wallball_100,100,true
m030,wall_ball,mv_wallball_500,500,true
m030,wall_ball,mv_wallball_1000,1000,true
m030,pull_up,mv_pullup_100,100,true
m030,pull_up,mv_pullup_500,500,true
m030,box_jump,mv_box_jump_100,100,true
m030,box_jump,mv_box_jump_500,500,true
m030,box_jump,mv_box_jump_1000,1000,true
m030,clean_and_jerk,mv_cj_100,100,true
m030,clean_and_jerk,mv_cj_500,500,true
m030,clean_and_jerk,mv_cj_1000,1000,true
m030,toes_to_bar,mv_t2b_100,100,true
m030,toes_to_bar,mv_t2b_500,500,true
m030,toes_to_bar,mv_t2b_1000,1000,true
m030,snatch,mv_snatch_100,100,true
m030,snatch,mv_snatch_500,500,true
m030,snatch,mv_snatch_1000,1000,true
m031,pull_up,mv_pullup_100,100,true
m031,ring_muscle_up,mv_ring_mu_50,50,true
m031,ring_muscle_up,mv_ring_mu_200,200,true
m031,ring_muscle_up,mv_ring_mu_500,500,true
m031,double_under,mv_du_500,500,true
m031,double_under,mv_du_2000,2000,true
m031,double_under,mv_du_5000,5000,true
m031,double_under,mv_du_10000,10000,true
m031,deadlift,mv_deadlifts_100,100,true
m031,deadlift,mv_deadlifts_500,500,true
m031,snatch,mv_snatch_100,100,true
m031,snatch,mv_snatch_500,500,true
m031,clean_and_jerk,mv_cj_100,100,true
m031,clean_and_jerk,mv_cj_500,500,true
m031,clean_and_jerk,mv_cj_1000,1000,true
m031,clean_and_jerk,mv_cj_5000,5000,true
m032,ring_muscle_up,mv_ring_mu_50,50,true
m032,chest_to_bar,mv_c2b_100,100,true
m032,wall_ball,mv_wallball_100,100,true
m032,wall_ball,mv_wallball_500,500,true
m032,toes_to_bar,mv_t2b_100,100,true
m032,toes_to_bar,mv_t2b_500,500,true
m032,toes_to_bar,mv_t2b_1000,1000,true
m032,squat,mv_squat_100,100,true
m032,squat,mv_squat_500,500,true
m032,squat,mv_squat_1000,1000,true
m032,squat,mv_squat_5000,5000,true
m032,clean_and_jerk,mv_cj_100,100,true
m032,clean_and_jerk,mv_cj_500,500,true
m032,clean_and_jerk,mv_cj_1000,1000,true
m032,clean_and_jerk,mv_cj_5000,5000,true
m032,box_jump,mv_box_jump_100,100,true
m032,box_jump,mv_box_jump_500,500,true
m032,box_jump,mv_box_jump_1000,1000,true
m033,hspu,mv_hspu_100,100,true
m033,hspu,mv_hspu_500,500,true
m033,hspu,mv_hspu_1000,1000,true
m033,double_under,mv_du_500,500,true
m033,double_under,mv_du_2000,2000,true
m033,double_under,mv_du_5000,5000,true
m033,double_under,mv_du_10000,10000,true
m033,wall_ball,mv_wallball_100,100,true
m033,wall_ball,mv_wallball_500,500,true
m033,pull_up,mv_pullup_100,100,true
m033,pull_up,mv_pullup_500,500,true
m033,pull_up,mv_pullup_1000,1000,true
m033,pull_up,mv_pullup_5000,5000,true
m033,chest_to_bar,mv_c2b_100,100,true
m033,chest_to_bar,mv_c2b_500,500,true
m033,chest_to_bar,mv_c2b_1000,1000,true
m034,clean_and_jerk,mv_cj_100,100,true
m034,snatch,mv_snatch_100,100,true
m034,snatch,mv_snatch_500,500,true
m034,snatch,mv_snatch_1000,1000,true
m034,squat,mv_squat_100,100,true
m034,squat,mv_squat_500,500,true
m034,squat,mv_squat_1000,1000,true
m034,squat,mv_squat_5000,5000,true
m034,pull_up,mv_pullup_100,100,true
m035,ring_muscle_up,mv_ring_mu_50,50,true
m035,ring_muscle_up,mv_ring_mu_200,200,true
m035,ring_muscle_up,mv_ring_mu_500,500,true
m035,hspu,mv_hspu_100,100,true
m035,hspu,mv_hspu_500,500,true
m035,hspu,mv_hspu_1000,1000,true
m035,toes_to_bar,mv_t2b_100,100,true
m035,pull_up,mv_pullup_100,100,true
m035,pull_up,mv_pullup_500,500,true
m035,pull_up,mv_pullup_1000,1000,true
m035,clean_and_jerk,mv_cj_100,100,true
m035,clean_and_jerk,mv_cj_500,500,true
m036,clean_and_jerk,mv_cj_100,100,true
m036,clean_and_jerk,mv_cj_500,500,true
m036,clean_and_jerk,mv_cj_1000,1000,true
m036,clean_and_jerk,mv_cj_5000,5000,true
m036,box_jump,mv_box_jump_100,100,true
m036,box_jump,mv_box_jump_500,500,true
m036,box_jump,mv_box_jump_1000,1000,true
m036,deadlift,mv_deadlifts_100,100,true
m036,deadlift,mv_deadlifts_500,500,true
m036,deadlift,mv_deadlifts_1000,1000,true
m036,ring_muscle_up,mv_ring_mu_50,50,true
m036,ring_muscle_up,mv_ring_mu_200,200,true
m036,ring_muscle_up,mv_ring_mu_500,500,true
m037,pull_up,mv_pullup_100,100,true
m037,pull_up,mv_pullup_500,500,true
m037,pull_up,mv_pullup_1000,1000,true
m037,squat,mv_squat_100,100,true
m037,squat,mv_squat_500,500,true
m037,squat,mv_squat_1000,1000,true
m037,squat,mv_squat_5000,5000,true
m037,hspu,mv_hspu_100,100,true
m037,hspu,mv_hspu_500,500,true
m037,hspu,mv_hspu_1000,1000,true
m037,wall_ball,mv_wallball_100,100,true
m037,wall_ball,mv_wallball_500,500,true
m037,wall_ball,mv_wallball_1000,1000,true
m037,wall_ball,mv_wallball_5000,5000,true
m038,hspu,mv_hspu_100,100,true
m038,hspu,mv_hspu_500,500,true
m038,box_jump,mv_box_jump_100,100,true
m038,box_jump,mv_box_jump_500,500,true
m038,clean_and_jerk,mv_cj_100,100,true
m038,clean_and_jerk,mv_cj_500,500,true
m038,clean_and_jerk,mv_cj_1000,1000,true
m038,clean_and_jerk,mv_cj_5000,5000,true
m038,toes_to_bar,mv_t2b_100,100,true
m038,toes_to_bar,mv_t2b_500,500,true
m038,squat,mv_squat_100,100,true
m038,squat,mv_squat_500,500,true
m038,chest_to_bar,mv_c2b_100,100,true
m038,chest_to_bar,mv_c2b_500,500,true
m039,double_under,mv_du_500,500,true
m039,double_under,mv_du_2000,2000,true
m039,double_under,mv_du_5000,5000,true
m039,wall_ball,mv_wallball_100,100,true
m039,wall_ball,mv_wallball_500,500,true
m039,toes_to_bar,mv_t2b_100,100,true
m039,toes_to_bar,mv_t2b_500,500,true
m039,pull_up,mv_pullup_100,100,true
m039,hspu,mv_hspu_100,100,true
m040,box_jump,mv_box_jump_100,100,true
m040,box_jump,mv_box_jump_500,500,true
m040,box_jump,mv_box_jump_1000,1000,true
m040,snatch,mv_snatch_100,100,true
m040,snatch,mv_snatch_500,500,true
m040,snatch,mv_snatch_1000,1000,true
m040,snatch,mv_snatch_5000,5000,true
m040,double_under,mv_du_500,500,true
m040,double_under,mv_du_2000,2000,true
m040,double_under,mv_du_5000,5000,true
m040,double_under,mv_du_10000,10000,true
m040,ring_muscle_up,mv_ring_mu_50,50,true
m040,hspu,mv_hspu_100,100,true
m040,hspu,mv_hspu_500,500,true
m040,wall_ball,mv_wallball_100,100,true
m041,ring_muscle_up,mv_ring_mu_50,50,true
m041,ring_muscle_up,mv_ring_mu_200,200,true
m041,ring_muscle_up,mv_ring_mu_500,500,true
m041,snatch,mv_snatch_100,100,true
m042,hspu,mv_hspu_100,100,true
m042,hspu,mv_hspu_500,500,true
m042,chest_to_bar,mv_c2b_100,100,true
m042,chest_to_bar,mv_c2b_500,500,true
m042,chest_to_bar,mv_c2b_1000,1000,true
m042,ring_muscle_up,mv_ring_mu_50,50,true
m042,clean_and_jerk,mv_cj_100,100,true
m042,clean_and_jerk,mv_cj_500,500,true
m042,clean_and_jerk,mv_cj_1000,1000,true
m043,toes_to_bar,mv_t2b_100,100,true
m043,wall_ball,mv_wallball_100,100,true
m044,deadlift,mv_deadlifts_100,100,true
m044,deadlift,mv_deadlifts_500,500,true
m044,deadlift,mv_deadlifts_1000,1000,true
m044,toes_to_bar,mv_t2b_100,100,true
m044,toes_to_bar,mv_t2b_500,500,true
m044,toes_to_bar,mv_t2b_1000,1000,true
m044,wall_ball,mv_wallball_100,100,true
m044,wall_ball,mv_wallball_500,500,true
m044,wall_ball,mv_wallball_1000,1000,true
m044,snatch,mv_snatch_100,100,true
m044,snatch,mv_snatch_500,500,true
m044,pull_up,mv_pullup_100,100,true
m044,double_under,mv_du_500,500,true
m044,double_under,mv_du_2000,2000,true
m044,double_under,mv_du_5000,5000,true
m044,double_under,mv_du_10000,10000,true
m044,clean_and_jerk,mv_cj_100,100,true
m045,squat,mv_squat_100,100,true
m045,squat,mv_squat_500,500,true
m045,squat,mv_squat_1000,1000,true
m045,clean_and_jerk,mv_cj_100,100,true
m045,clean_and_jerk,mv_cj_500,500,true
m045,clean_and_jerk,mv_cj_1000,1000,true
m045,clean_and_jerk,mv_cj_5000,5000,true
m045,toes_to_bar,mv_t2b_100,100,true
m045,toes_to_bar,mv_t2b_500,500,true
m045,double_under,mv_du_500,500,true
m045,double_under,mv_du_2000,2000,true
m045,double_under,mv_du_5000,5000,true
m045,snatch,mv_snatch_100,100,true
m045,ring_muscle_up,mv_ring_mu_50,50,true
m045,ring_muscle_up,mv_ring_mu_200,200,true
m046,chest_to_bar,mv_c2b_100,100,true
m046,clean_and_jerk,mv_cj_100,100,true
m046,double_under,mv_du_500,500,true
m046,box_jump,mv_box_jump_100,100,true
m046,box_jump,mv_box_jump_500,500,true
m047,chest_to_bar,mv_c2b_100,100,true
m047,chest_to_bar,mv_c2b_500,500,true
m047,chest_to_bar,mv_c2b_1000,1000,true
m047,squat,mv_squat_100,100,true
m047,squat,mv_squat_500,500,true
m047,squat,mv_squat_1000,1000,true
m047,squat,mv_squat_5000,5000,true
m048,pull_up,mv_pullup_100,100,true
m048,pull_up,mv_pullup_500,500,true
m048,pull_up,mv_pullup_1000,1000,true
m048,chest_to_bar,mv_c2b_100,100,true
m048,chest_to_bar,mv_c2b_500,500,true
m048,snatch,mv_snatch_100,100,true
m048,toes_to_bar,mv_t2b_100,100,true
m048,toes_to_bar,mv_t2b_500,500,true
m048,ring_muscle_up,mv_ring_mu_50,50,true
m048,ring_muscle_up,mv_ring_mu_200,200,true
m048,ring_muscle_up,mv_ring_mu_500,500,true
m049,wall_ball,mv_wallball_100,100,true
m049,wall_ball,mv_wallball_500,500,true
m049,wall_ball,mv_wallball_1000,1000,true
m049,snatch,mv_snatch_100,100,true
m049,snatch,mv_snatch_500,500,true
m049,snatch,mv_snatch_1000,1000,true
m049,toes_to_bar,mv_t2b_100,100,true
m049,toes_to_bar,mv_t2b_500,500,true
m049,toes_to_bar,mv_t2b_1000,1000,true
m049,squat,mv_squat_100,100,true
m049,squat,mv_squat_500,500,true
m049,squat,mv_squat_1000,1000,true
m049,squat,mv_squat_5000,5000,true
m050,chest_to_bar,mv_c2b_100,100,true
m050,chest_to_bar,mv_c2b_500,500,true
m050,chest_to_bar,mv_c2b_1000,1000,true
m050,deadlift,mv_deadlifts_100,100,true
m050,deadlift,mv_deadlifts_500,500,true
m050,wall_ball,mv_wallball_100,100,true
m050,wall_ball,mv_wallball_500,500,true
m050,wall_ball,mv_wallball_1000,1000,true
m050,wall_ball,mv_wallball_5000,5000,true
m050,ring_muscle_up,mv_ring_mu_50,50,true
m050,ring_muscle_up,mv_ring_mu_200,200,true
m050,ring_muscle_up,mv_ring_mu_500,500,true
m050,double_under,mv_du_500,500,true
m050,double_under,mv_du_2000,2000,true
m050,double_under,mv_du_5000,5000,true
m050,clean_and_jerk,mv_cj_100,100,true
m050,clean_and_jerk,mv_cj_500,500,true
m050,clean_and_jerk,mv_cj_1000,1000,true
m050,pull_up,mv_pullup_100,100,true
m050,pull_up,mv_pullup_500,500,true
m050,pull_up,mv_pullup_1000,1000,true
m050,pull_up,mv_pullup_5000,5000,true
m051,box_jump,mv_box_jump_100,100,true
m051,box_jump,mv_box_jump_500,500,true
m051,box_jump,mv_box_jump_1000,1000,true
m051,toes_to_bar,mv_t2b_100,100,true
m051,toes_to_bar,mv_t2b_500,500,true
m051,toes_to_bar,mv_t2b_1000,1000,true
m051,deadlift,mv_deadlifts_100,100,true
m051,clean_and_jerk,mv_cj_100,100,true
m051,clean_and_jerk,mv_cj_500,500,true
m051,clean_and_jerk,mv_cj_1000,1000,true
m052,chest_to_bar,mv_c2b_100,100,true
m052,chest_to_bar,mv_c2b_500,500,true
m052,ring_muscle_up,mv_ring_mu_50,50,true
m052,ring_muscle_up,mv_ring_mu_200,200,true
m052,ring_muscle_up,mv_ring_mu_500,500,true
m052,double_under,mv_du_500,500,true
m052,double_under,mv_du_2000,2000,true
m052,double_under,mv_du_5000,5000,true
m052,double_under,mv_du_10000,10000,true
m052,squat,mv_squat_100,100,true
m052,squat,mv_squat_500,500,true
m052,squat,mv_squat_1000,1000,true
m053,double_under,mv_du_500,500,true
m053,double_under,mv_du_2000,2000,true
m053,double_under,mv_du_5000,5000,true
m053,double_under,mv_du_10000,10000,true
m053,squat,mv_squat_100,100,true
m054,wall_ball,mv_wallball_100,100,true
