tournament_ref,match_ref,bracket,tour,jour,joueur_a,joueur_b,vainqueur,perdant,score_vainqueur,score_perdant,statut
t002,t002-wb010,winners,1,2026-09-03,m083,m002,m083,m002,07:23,08:52,termine
t002,t002-wb011,winners,1,2026-09-03,m005,m058,m005,m058,10:57,11:29,termine
t002,t002-wb012,winners,1,2026-09-03,m143,m061,m061,m143,10:07,10:15,termine
t002,t002-wb013,winners,1,2026-09-03,m142,m010,m010,m142,12:04,12:23,termine
t002,t002-wb014,winners,1,2026-09-03,m133,m082,m082,m133,12:57,13:19,termine
t002,t002-wb015,winners,1,2026-09-03,m150,m011,m011,m150,08:48,09:29,termine
t002,t002-wb016,winners,1,2026-09-03,m046,m016,m016,m046,11:53,13:10,termine
t002,t002-wb017,winners,2,2026-09-04,m149,m013,m013,m149,11:57,12:16,termine
t002,t002-wb018,winners,2,2026-09-04,m012,m070,m070,m012,11:59,12:38,termine
t002,t002-wb019,winners,2,2026-09-04,m030,m068,m030,m068,13:20,14:34,termine
t002,t002-wb020,winners,2,2026-09-04,m071,m034,m071,m034,11:35,12:11,termine
t002,t002-wb021,winners,2,2026-09-04,m006,m083,m006,m083,13:30,13:58,termine
t002,t002-wb022,winners,2,2026-09-04,m005,m061,m005,m061,14:26,14:48,termine
t002,t002-wb023,winners,2,2026-09-04,m010,m082,m010,m082,14:11,14:24,termine
t002,t002-wb024,winners,2,2026-09-04,m011,m016,m011,m016,13:29,14:50,termine
t002,t002-wb025,winners,3,2026-09-05,m013,m070,m013,m070,13:25,13:39,termine
t002,t002-wb026,winners,3,2026-09-05,m030,m071,m071,m030,10:41,10:51,termine
t002,t002-wb027,winners,3,2026-09-05,m006,m005,m006,m005,10:30,11:44,termine
t002,t002-wb028,winners,3,2026-09-05,m010,m011,m011,m010,13:04,13:30,termine
t002,t002-wb029,winners,4,2026-09-06,m013,m071,,,,,en_attente
t002,t002-wb030,winners,4,2026-09-06,m006,m011,,,,,en_attente
t002,t002-lb001,losers,1,2026-09-03,m143,m131,m143,m131,08:44,09:55,termine
t002,t002-lb002,losers,1,2026-09-03,m128,m048,m048,m128,14:50,16:16,termine
t002,t002-lb003,losers,1,2026-09-03,m133,m002,m133,m002,11:43,13:01,termine
t002,t002-lb004,losers,1,2026-09-03,m046,m058,m046,m058,08:24,09:27,termine
t002,t002-lb005,losers,1,2026-09-03,m142,m049,m049,m142,13:01,14:15,termine
t002,t002-lb006,losers,1,2026-09-03,m104,m076,m104,m076,12:00,13:01,termine
t002,t002-lb007,losers,1,2026-09-03,m150,m122,m122,m150,12:39,13:49,termine
t002,t002-lb008,losers,1,2026-09-03,m062,m078,m062,m078,08:48,09:16,termine
t002,t002-lb009,losers,2,2026-09-04,m104,m048,m048,m104,10:09,11:09,termine
t002,t002-lb010,losers,2,2026-09-04,m133,m149,m133,m149,11:33,11:45,termine
t002,t002-lb011,losers,2,2026-09-04,m062,m034,m034,m062,12:34,12:50,termine
t002,t002-lb012,losers,2,2026-09-04,m068,m083,m068,m083,11:17,11:29,termine
t002,t002-lb013,losers,2,2026-09-04,m012,m016,m016,m012,09:05,10:16,termine
t002,t002-lb014,losers,2,2026-09-04,m143,m122,m122,m143,13:13,14:12,termine
t002,t002-lb015,losers,2,2026-09-04,m061,m082,m061,m082,10:07,10:18,termine
t002,t002-lb016,losers,2,2026-09-04,m049,m046,m046,m049,12:50,13:39,termine
t002,t002-lb017,losers,3,2026-09-05,m133,m068,m133,m068,08:55,09:42,termine
t002,t002-lb018,losers,3,2026-09-05,m122,m048,m048,m122,14:40,15:08,termine
t002,t002-lb019,losers,3,2026-09-05,m005,m010,m005,m010,14:15,14:37,termine
t002,t002-lb020,losers,3,2026-09-05,m046,m030,m046,m030,12:01,13:31,termine
t002,t002-lb021,losers,3,2026-09-05,m034,m070,m034,m070,14:18,15:16,termine
t002,t002-lb022,losers,3,2026-09-05,m016,m061,m016,m061,14:18,14:46,termine
t004,t004-wb001,winners,1,2026-08-24,m075,m065,m075,m065,07:31,07:38,termine
t004,t004-wb002,winners,1,2026-08-24,m038,m110,m038,m110,09:24,09:39,termine
t004,t004-wb003,winners,1,2026-08-24,m101,m081,m101,m081,11:14,11:36,termine
t004,t004-wb004,winners,1,2026-08-24,m061,m041,m041,m061,10:15,11:34,termine
t004,t004-wb005,winners,2,2026-08-24,m075,m038,m038,m075,08:08,08:52,termine
t004,t004-wb006,winners,2,2026-08-24,m101,m041,m041,m101,12:18,13:30,termine
t004,t004-wb007,winners,3,2026-08-24,m038,m041,m038,m041,07:45,09:15,termine
t004,t004-lb001,losers,1,2026-08-24,m065,m081,m081,m065,13:02,13:53,termine
t004,t004-lb002,losers,1,2026-08-24,m110,m061,m061,m110,12:49,14:12,termine
t004,t004-lb003,losers,2,2026-08-24,m075,m061,m061,m075,11:09,12:36,termine
t004,t004-lb004,losers,2,2026-08-24,m101,m081,m101,m081,10:39,11:33,termine
t004,t004-lb005,losers,3,2026-08-24,m061,m101,m061,m101,10:05,10:33,termine
t005,t005-wb001,winners,1,2026-08-31,m140,m079,m140,m079,13:05,14:16,termine
t005,t005-wb002,winners,1,2026-08-31,m013,m066,m013,m066,10:39,11:22,termine
t005,t005-wb003,winners,1,2026-08-31,m147,m032,m032,m147,07:45,08:57,termine
t005,t005-wb004,winners,1,2026-08-31,m026,m017,m017,m026,07:26,08:30,termine
t005,t005-wb005,winners,2,2026-08-31,m140,m013,m013,m140,14:12,14:48,termine
t005,t005-wb006,winners,2,2026-08-31,m032,m017,m032,m017,09:48,10:31,termine
t005,t005-wb007,winners,3,2026-08-31,m013,m032,m013,m032,11:51,12:38,termine
t005,t005-lb001,losers,1,2026-08-31,m079,m066,m079,m066,12:23,12:50,termine
t005,t005-lb002,losers,1,2026-08-31,m026,m147,m026,m147,09:36,10:48,termine
t005,t005-lb003,losers,2,2026-08-31,m079,m017,m017,m079,10:32,11:32,termine
t005,t005-lb004,losers,2,2026-08-31,m140,m026,m026,m140,14:42,15:50,termine
t005,t005-lb005,losers,3,2026-08-31,m026,m032,m032,m026,14:39,15:27,termine
