member_ref,jour,delta,elo_apres,source_type,source_ref
m071,2026-07-30,-3,1060,wod_score,w004
m122,2026-07-30,-3,1083,wod_score,w004
m139,2026-07-30,-6,997,wod_score,w004
m109,2026-07-30,-5,1095,wod_score,w004
m138,2026-07-30,-4,1067,wod_score,w004
m119,2026-07-30,-6,1066,wod_score,w004
m082,2026-07-30,-9,1132,wod_score,w004
m147,2026-07-30,-10,1001,wod_score,w004
m118,2026-07-30,-8,1048,wod_score,w004
m133,2026-07-30,-12,996,wod_score,w004
m001,2026-07-31,10,1315,wod_score,w005
m046,2026-07-31,8,1090,wod_score,w005
m034,2026-07-31,12,1127,wod_score,w005
m006,2026-07-31,11,1097,wod_score,w005
m036,2026-07-31,4,1201,wod_score,w005
m018,2026-07-31,6,1170,wod_score,w005
m038,2026-07-31,7,1127,wod_score,w005
m035,2026-07-31,5,1175,wod_score,w005
m084,2026-07-31,6,1120,wod_score,w005
m011,2026-07-31,4,1165,wod_score,w005
m015,2026-07-31,7,1226,wod_score,w005
m045,2026-07-31,7,1167,wod_score,w005
m013,2026-07-31,3,1117,wod_score,w005
m070,2026-07-31,0,1102,wod_score,w005
m077,2026-07-31,1,1153,wod_score,w005
m031,2026-07-31,3,1176,wod_score,w005
m076,2026-07-31,2,1155,wod_score,w005
m029,2026-07-31,0,1171,wod_score,w005
m066,2026-07-31,2,1167,wod_score,w005
m048,2026-07-31,3,1109,wod_score,w005
m039,2026-07-31,3,1160,wod_score,w005
m081,2026-07-31,2,1126,wod_score,w005
m021,2026-07-31,0,1169,wod_score,w005
m078,2026-07-31,1,1046,wod_score,w005
m063,2026-07-31,-3,1104,wod_score,w005
m087,2026-07-31,-2,1089,wod_score,w005
m068,2026-07-31,-2,1138,wod_score,w005
m107,2026-07-31,-1,1059,wod_score,w005
m102,2026-07-31,-1,1059,wod_score,w005
m067,2026-07-31,0,1110,wod_score,w005
m094,2026-07-31,-1,1117,wod_score,w005
m120,2026-07-31,-1,1031,wod_score,w005
m138,2026-07-31,0,1067,wod_score,w005
m097,2026-07-31,-1,1092,wod_score,w005
m089,2026-07-31,0,1080,wod_score,w005
m124,2026-07-31,-3,1042,wod_score,w005
m114,2026-07-31,-7,1047,wod_score,w005
m133,2026-07-31,-4,992,wod_score,w005
m122,2026-07-31,-4,1079,wod_score,w005
m121,2026-07-31,-7,1048,wod_score,w005
m050,2026-07-31,-5,1095,wod_score,w005
m110,2026-07-31,-4,1120,wod_score,w005
m140,2026-07-31,-6,1016,wod_score,w005
m126,2026-07-31,-7,1033,wod_score,w005
m131,2026-07-31,-8,1054,wod_score,w005
m149,2026-07-31,-9,936,wod_score,w005
m112,2026-07-31,-8,1060,wod_score,w005
m143,2026-07-31,-9,981,wod_score,w005
m141,2026-07-31,-8,973,wod_score,w005
m010,2026-08-03,8,1216,wod_score,w007
m032,2026-08-03,12,1133,wod_score,w007
m002,2026-08-03,12,1296,wod_score,w007
m025,2026-08-03,9,1189,wod_score,w007
m009,2026-08-03,4,1216,wod_score,w007
m021,2026-08-03,5,1174,wod_score,w007
m016,2026-08-03,6,1178,wod_score,w007
m043,2026-08-03,5,1165,wod_score,w007
m051,2026-08-03,5,1128,wod_score,w007
m064,2026-08-03,4,1114,wod_score,w007
m047,2026-08-03,4,1156,wod_score,w007
m029,2026-08-03,4,1175,wod_score,w007
m026,2026-08-03,2,1197,wod_score,w007
m060,2026-08-03,3,1141,wod_score,w007
m098,2026-08-03,0,1090,wod_score,w007
m091,2026-08-03,3,1077,wod_score,w007
m061,2026-08-03,3,1083,wod_score,w007
m027,2026-08-03,3,1175,wod_score,w007
m056,2026-08-03,3,1150,wod_score,w007
m099,2026-08-03,3,1063,wod_score,w007
m085,2026-08-03,0,1121,wod_score,w007
m086,2026-08-03,3,1092,wod_score,w007
m048,2026-08-03,1,1110,wod_score,w007
m059,2026-08-03,1,1121,wod_score,w007
m078,2026-08-03,-3,1043,wod_score,w007
m053,2026-08-03,0,1150,wod_score,w007
m062,2026-08-03,-2,1092,wod_score,w007
m122,2026-08-03,-2,1077,wod_score,w007
m131,2026-08-03,-3,1051,wod_score,w007
m042,2026-08-03,-3,1159,wod_score,w007
m068,2026-08-03,-3,1135,wod_score,w007
m100,2026-08-03,-1,1083,wod_score,w007
m120,2026-08-03,-2,1029,wod_score,w007
m112,2026-08-03,0,1060,wod_score,w007
m108,2026-08-03,-2,1085,wod_score,w007
m095,2026-08-03,-2,1100,wod_score,w007
m107,2026-08-03,-7,1052,wod_score,w007
m115,2026-08-03,-4,1053,wod_score,w007
m137,2026-08-03,-6,1058,wod_score,w007
m130,2026-08-03,-6,1053,wod_score,w007
m127,2026-08-03,-7,1040,wod_score,w007
m093,2026-08-03,-7,1077,wod_score,w007
m145,2026-08-03,-4,993,wod_score,w007
m117,2026-08-03,-9,1050,wod_score,w007
m126,2026-08-03,-9,1024,wod_score,w007
m124,2026-08-03,-9,1033,wod_score,w007
m138,2026-08-03,-9,1058,wod_score,w007
m142,2026-08-03,-8,1058,wod_score,w007
m001,2026-08-04,9,1324,wod_score,w008
m012,2026-08-04,12,1278,wod_score,w008
m007,2026-08-04,12,1255,wod_score,w008
m044,2026-08-04,8,1142,wod_score,w008
m030,2026-08-04,12,1181,wod_score,w008
m004,2026-08-04,7,1239,wod_score,w008
m031,2026-08-04,5,1181,wod_score,w008
m064,2026-08-04,5,1119,wod_score,w008
m018,2026-08-04,5,1175,wod_score,w008
m079,2026-08-04,6,1111,wod_score,w008
m049,2026-08-04,7,1188,wod_score,w008
m008,2026-08-04,7,1285,wod_score,w008
m095,2026-08-04,0,1100,wod_score,w008
m059,2026-08-04,3,1124,wod_score,w008
m034,2026-08-04,1,1128,wod_score,w008
m081,2026-08-04,2,1128,wod_score,w008
m050,2026-08-04,3,1098,wod_score,w008
m020,2026-08-04,0,1199,wod_score,w008
m115,2026-08-04,1,1054,wod_score,w008
m080,2026-08-04,1,1100,wod_score,w008
m112,2026-08-04,3,1063,wod_score,w008
m098,2026-08-04,1,1091,wod_score,w008
m074,2026-08-04,1,1126,wod_score,w008
m071,2026-08-04,2,1062,wod_score,w008
m125,2026-08-04,3,1030,wod_score,w008
m066,2026-08-04,-3,1164,wod_score,w008
m040,2026-08-04,0,1159,wod_score,w008
m047,2026-08-04,0,1156,wod_score,w008
m072,2026-08-04,0,1131,wod_score,w008
m015,2026-08-04,0,1226,wod_score,w008
m069,2026-08-04,-1,1138,wod_score,w008
m026,2026-08-04,-3,1194,wod_score,w008
m110,2026-08-04,-1,1119,wod_score,w008
m100,2026-08-04,-1,1082,wod_score,w008
m144,2026-08-04,-3,971,wod_score,w008
m136,2026-08-04,0,1005,wod_score,w008
m114,2026-08-04,-2,1045,wod_score,w008
m134,2026-08-04,-1,1002,wod_score,w008
m105,2026-08-04,-4,1057,wod_score,w008
m131,2026-08-04,-7,1044,wod_score,w008
m101,2026-08-04,-5,1118,wod_score,w008
m148,2026-08-04,-5,957,wod_score,w008
m099,2026-08-04,-6,1057,wod_score,w008
m122,2026-08-04,-6,1071,wod_score,w008
m150,2026-08-04,-7,961,wod_score,w008
m137,2026-08-04,-9,1049,wod_score,w008
m149,2026-08-04,-8,928,wod_score,w008
m133,2026-08-04,-10,982,wod_score,w008
m145,2026-08-04,-11,982,wod_score,w008
m124,2026-08-04,-8,1025,wod_score,w008
m143,2026-08-04,-11,970,wod_score,w008
m001,2026-08-05,12,1336,wod_score,w009
m043,2026-08-05,8,1173,wod_score,w009
m003,2026-08-05,6,1278,wod_score,w009
m002,2026-08-05,6,1302,wod_score,w009
m020,2026-08-05,4,1203,wod_score,w009
m050,2026-08-05,6,1104,wod_score,w009
m054,2026-08-05,1,1098,wod_score,w009
m019,2026-08-05,0,1184,wod_score,w009
m031,2026-08-05,0,1181,wod_score,w009
m022,2026-08-05,1,1184,wod_score,w009
m014,2026-08-05,1,1204,wod_score,w009
m077,2026-08-05,3,1156,wod_score,w009
m063,2026-08-05,-1,1103,wod_score,w009
m110,2026-08-05,-1,1118,wod_score,w009
m101,2026-08-05,-2,1116,wod_score,w009
m061,2026-08-05,-1,1082,wod_score,w009
m058,2026-08-05,-3,1175,wod_score,w009
m028,2026-08-05,-1,1167,wod_score,w009
m099,2026-08-05,-4,1053,wod_score,w009
m056,2026-08-05,-4,1146,wod_score,w009
m030,2026-08-05,-7,1174,wod_score,w009
m123,2026-08-05,-11,1057,wod_score,w009
m144,2026-08-05,-8,963,wod_score,w009
m145,2026-08-05,-12,970,wod_score,w009
m029,2026-08-06,8,1183,wod_score,w010
m035,2026-08-06,11,1186,wod_score,w010
m002,2026-08-06,11,1313,wod_score,w010
m025,2026-08-06,6,1195,wod_score,w010
m057,2026-08-06,6,1134,wod_score,w010
m037,2026-08-06,4,1146,wod_score,w010
m027,2026-08-06,5,1180,wod_score,w010
m070,2026-08-06,6,1108,wod_score,w010
m039,2026-08-06,3,1163,wod_score,w010
m063,2026-08-06,3,1106,wod_score,w010
m034,2026-08-06,0,1128,wod_score,w010
m019,2026-08-06,3,1187,wod_score,w010
m048,2026-08-06,2,1112,wod_score,w010
m082,2026-08-06,0,1132,wod_score,w010
m096,2026-08-06,3,1083,wod_score,w010
m097,2026-08-06,0,1092,wod_score,w010
m044,2026-08-06,-1,1141,wod_score,w010
m085,2026-08-06,-2,1119,wod_score,w010
m089,2026-08-06,-1,1079,wod_score,w010
m084,2026-08-06,0,1120,wod_score,w010
m058,2026-08-06,0,1175,wod_score,w010
m114,2026-08-06,-3,1042,wod_score,w010
m131,2026-08-06,0,1044,wod_score,w010
m106,2026-08-06,-2,1070,wod_score,w010
m113,2026-08-06,-7,1069,wod_score,w010
m112,2026-08-06,-7,1056,wod_score,w010
m101,2026-08-06,-5,1111,wod_score,w010
m135,2026-08-06,-4,998,wod_score,w010
m132,2026-08-06,-6,999,wod_score,w010
m145,2026-08-06,-8,962,wod_score,w010
m080,2026-08-06,-8,1092,wod_score,w010
m140,2026-08-06,-9,1007,wod_score,w010
m134,2026-08-06,-9,993,wod_score,w010
m002,2026-08-07,12,1325,wod_score,w011
m016,2026-08-07,8,1186,wod_score,w011
m032,2026-08-07,9,1142,wod_score,w011
m077,2026-08-07,4,1160,wod_score,w011
m018,2026-08-07,6,1181,wod_score,w011
m028,2026-08-07,7,1174,wod_score,w011
m031,2026-08-07,4,1185,wod_score,w011
m072,2026-08-07,2,1133,wod_score,w011
m106,2026-08-07,2,1072,wod_score,w011
m102,2026-08-07,2,1061,wod_score,w011
m109,2026-08-07,1,1096,wod_score,w011
m098,2026-08-07,3,1094,wod_score,w011
m054,2026-08-07,1,1099,wod_score,w011
m076,2026-08-07,0,1155,wod_score,w011
m075,2026-08-07,2,1131,wod_score,w011
m118,2026-08-07,-2,1046,wod_score,w011
m069,2026-08-07,-1,1137,wod_score,w011
m074,2026-08-07,-2,1124,wod_score,w011
m093,2026-08-07,-1,1076,wod_score,w011
m083,2026-08-07,0,1110,wod_score,w011
m137,2026-08-07,-1,1048,wod_score,w011
m124,2026-08-07,-3,1022,wod_score,w011
m104,2026-08-07,-5,1063,wod_score,w011
m135,2026-08-07,-7,991,wod_score,w011
m103,2026-08-07,-5,1088,wod_score,w011
m094,2026-08-07,-7,1110,wod_score,w011
m140,2026-08-07,-7,1000,wod_score,w011
m130,2026-08-07,-10,1043,wod_score,w011
m143,2026-08-07,-12,958,wod_score,w011
m148,2026-08-07,-11,946,wod_score,w011
m001,2026-08-10,12,1348,wod_score,w013
m006,2026-08-10,11,1108,wod_score,w013
m079,2026-08-10,9,1120,wod_score,w013
m022,2026-08-10,9,1193,wod_score,w013
m084,2026-08-10,7,1127,wod_score,w013
m064,2026-08-10,4,1123,wod_score,w013
m010,2026-08-10,7,1223,wod_score,w013
m023,2026-08-10,4,1163,wod_score,w013
m111,2026-08-10,6,1051,wod_score,w013
m047,2026-08-10,4,1160,wod_score,w013
m007,2026-08-10,2,1257,wod_score,w013
m029,2026-08-10,1,1184,wod_score,w013
m025,2026-08-10,2,1197,wod_score,w013
m066,2026-08-10,1,1165,wod_score,w013
m046,2026-08-10,2,1092,wod_score,w013
m048,2026-08-10,1,1113,wod_score,w013
m059,2026-08-10,1,1125,wod_score,w013
m044,2026-08-10,2,1143,wod_score,w013
m057,2026-08-10,2,1136,wod_score,w013
m026,2026-08-10,1,1195,wod_score,w013
m035,2026-08-10,2,1188,wod_score,w013
m060,2026-08-10,-3,1138,wod_score,w013
m038,2026-08-10,-1,1126,wod_score,w013
m024,2026-08-10,-1,1174,wod_score,w013
m120,2026-08-10,-3,1026,wod_score,w013
m080,2026-08-10,-2,1090,wod_score,w013
m103,2026-08-10,-2,1086,wod_score,w013
m061,2026-08-10,0,1082,wod_score,w013
m072,2026-08-10,0,1133,wod_score,w013
m049,2026-08-10,-2,1186,wod_score,w013
m099,2026-08-10,0,1053,wod_score,w013
m119,2026-08-10,-4,1062,wod_score,w013
m027,2026-08-10,-7,1173,wod_score,w013
m148,2026-08-10,-7,939,wod_score,w013
m109,2026-08-10,-7,1089,wod_score,w013
m087,2026-08-10,-6,1083,wod_score,w013
m138,2026-08-10,-5,1053,wod_score,w013
m095,2026-08-10,-12,1088,wod_score,w013
m147,2026-08-10,-9,992,wod_score,w013
m097,2026-08-10,-10,1082,wod_score,w013
m128,2026-08-10,-12,1071,wod_score,w013
m117,2026-08-10,-12,1038,wod_score,w013
m009,2026-08-11,11,1227,wod_score,w014
m014,2026-08-11,10,1214,wod_score,w014
m028,2026-08-11,12,1186,wod_score,w014
m039,2026-08-11,9,1172,wod_score,w014
m024,2026-08-11,7,1181,wod_score,w014
m019,2026-08-11,4,1191,wod_score,w014
m080,2026-08-11,6,1096,wod_score,w014
m053,2026-08-11,4,1154,wod_score,w014
m016,2026-08-11,6,1192,wod_score,w014
m003,2026-08-11,4,1282,wod_score,w014
m061,2026-08-11,7,1089,wod_score,w014
m084,2026-08-11,0,1127,wod_score,w014
m037,2026-08-11,0,1146,wod_score,w014
m011,2026-08-11,3,1168,wod_score,w014
m060,2026-08-11,3,1141,wod_score,w014
m094,2026-08-11,0,1110,wod_score,w014
m122,2026-08-11,3,1074,wod_score,w014
m031,2026-08-11,1,1186,wod_score,w014
m096,2026-08-11,2,1085,wod_score,w014
m107,2026-08-11,0,1052,wod_score,w014
m043,2026-08-11,1,1174,wod_score,w014
m089,2026-08-11,2,1081,wod_score,w014
m027,2026-08-11,-3,1170,wod_score,w014
m052,2026-08-11,-1,1175,wod_score,w014
m030,2026-08-11,-2,1172,wod_score,w014
m066,2026-08-11,-2,1163,wod_score,w014
m093,2026-08-11,-3,1073,wod_score,w014
m132,2026-08-11,-2,997,wod_score,w014
m123,2026-08-11,-1,1056,wod_score,w014
m081,2026-08-11,-3,1125,wod_score,w014
m111,2026-08-11,0,1051,wod_score,w014
m131,2026-08-11,0,1044,wod_score,w014
m108,2026-08-11,0,1085,wod_score,w014
m127,2026-08-11,-5,1035,wod_score,w014
m114,2026-08-11,-6,1036,wod_score,w014
m121,2026-08-11,-7,1041,wod_score,w014
m124,2026-08-11,-6,1016,wod_score,w014
m142,2026-08-11,-6,1052,wod_score,w014
m128,2026-08-11,-5,1066,wod_score,w014
m130,2026-08-11,-9,1034,wod_score,w014
m140,2026-08-11,-8,992,wod_score,w014
m143,2026-08-11,-8,950,wod_score,w014
m141,2026-08-11,-12,961,wod_score,w014
m150,2026-08-11,-8,953,wod_score,w014
m024,2026-08-12,8,1189,wod_score,w015
m010,2026-08-12,11,1234,wod_score,w015
m014,2026-08-12,8,1222,wod_score,w015
m051,2026-08-12,4,1132,wod_score,w015
m016,2026-08-12,7,1199,wod_score,w015
m049,2026-08-12,5,1191,wod_score,w015
m017,2026-08-12,5,1211,wod_score,w015
m059,2026-08-12,6,1131,wod_score,w015
m042,2026-08-12,0,1159,wod_score,w015
m068,2026-08-12,3,1138,wod_score,w015
m109,2026-08-12,3,1092,wod_score,w015
m061,2026-08-12,0,1089,wod_score,w015
m078,2026-08-12,0,1043,wod_score,w015
m072,2026-08-12,0,1133,wod_score,w015
m129,2026-08-12,2,1033,wod_score,w015
m066,2026-08-12,0,1163,wod_score,w015
m073,2026-08-12,0,1129,wod_score,w015
m071,2026-08-12,-2,1060,wod_score,w015
m143,2026-08-12,-3,947,wod_score,w015
m105,2026-08-12,-2,1055,wod_score,w015
m076,2026-08-12,0,1155,wod_score,w015
m145,2026-08-12,0,962,wod_score,w015
m093,2026-08-12,-2,1071,wod_score,w015
m121,2026-08-12,-3,1038,wod_score,w015
m026,2026-08-12,-2,1193,wod_score,w015
m096,2026-08-12,-2,1083,wod_score,w015
m113,2026-08-12,-5,1064,wod_score,w015
m135,2026-08-12,-5,986,wod_score,w015
m098,2026-08-12,-5,1089,wod_score,w015
m141,2026-08-12,-5,956,wod_score,w015
m092,2026-08-12,-5,1078,wod_score,w015
m046,2026-08-12,-10,1082,wod_score,w015
m138,2026-08-12,-12,1041,wod_score,w015
m083,2026-08-12,-8,1102,wod_score,w015
m103,2026-08-12,-9,1077,wod_score,w015
m008,2026-08-13,11,1296,wod_score,w016
m041,2026-08-13,10,1179,wod_score,w016
m033,2026-08-13,6,1172,wod_score,w016
m003,2026-08-13,7,1289,wod_score,w016
m007,2026-08-13,6,1263,wod_score,w016
m048,2026-08-13,2,1115,wod_score,w016
m063,2026-08-13,3,1109,wod_score,w016
m012,2026-08-13,1,1279,wod_score,w016
m045,2026-08-13,0,1167,wod_score,w016
m006,2026-08-13,2,1110,wod_score,w016
m020,2026-08-13,1,1204,wod_score,w016
m094,2026-08-13,-3,1107,wod_score,w016
m025,2026-08-13,-1,1196,wod_score,w016
m076,2026-08-13,0,1155,wod_score,w016
m073,2026-08-13,0,1129,wod_score,w016
m090,2026-08-13,-2,1092,wod_score,w016
m056,2026-08-13,0,1146,wod_score,w016
m054,2026-08-13,-6,1093,wod_score,w016
m043,2026-08-13,-6,1168,wod_score,w016
m061,2026-08-13,-5,1084,wod_score,w016
m077,2026-08-13,-9,1151,wod_score,w016
m133,2026-08-13,-8,974,wod_score,w016
m123,2026-08-13,-12,1044,wod_score,w016
m046,2026-08-14,11,1093,wod_score,w017
m023,2026-08-14,10,1173,wod_score,w017
m010,2026-08-14,10,1244,wod_score,w017
m005,2026-08-14,10,1238,wod_score,w017
m006,2026-08-14,12,1122,wod_score,w017
m066,2026-08-14,7,1170,wod_score,w017
m022,2026-08-14,6,1199,wod_score,w017
m087,2026-08-14,6,1089,wod_score,w017
m026,2026-08-14,5,1198,wod_score,w017
m030,2026-08-14,4,1176,wod_score,w017
m078,2026-08-14,6,1049,wod_score,w017
m051,2026-08-14,7,1139,wod_score,w017
m071,2026-08-14,4,1064,wod_score,w017
m089,2026-08-14,1,1082,wod_score,w017
m031,2026-08-14,0,1186,wod_score,w017
m019,2026-08-14,3,1194,wod_score,w017
m056,2026-08-14,2,1148,wod_score,w017
m027,2026-08-14,0,1170,wod_score,w017
m055,2026-08-14,3,1145,wod_score,w017
m024,2026-08-14,3,1192,wod_score,w017
m068,2026-08-14,3,1141,wod_score,w017
m090,2026-08-14,0,1092,wod_score,w017
m028,2026-08-14,0,1186,wod_score,w017
m076,2026-08-14,0,1155,wod_score,w017
m067,2026-08-14,0,1110,wod_score,w017
m083,2026-08-14,0,1102,wod_score,w017
m084,2026-08-14,-1,1126,wod_score,w017
m049,2026-08-14,-3,1188,wod_score,w017
m048,2026-08-14,-1,1114,wod_score,w017
m094,2026-08-14,-2,1105,wod_score,w017
m102,2026-08-14,-1,1060,wod_score,w017
m047,2026-08-14,-1,1159,wod_score,w017
m070,2026-08-14,-2,1106,wod_score,w017
m119,2026-08-14,-2,1060,wod_score,w017
m132,2026-08-14,-3,994,wod_score,w017
m117,2026-08-14,-2,1036,wod_score,w017
m120,2026-08-14,-1,1025,wod_score,w017
m110,2026-08-14,-1,1117,wod_score,w017
m112,2026-08-14,-3,1053,wod_score,w017
m113,2026-08-14,-6,1058,wod_score,w017
m101,2026-08-14,-4,1107,wod_score,w017
m140,2026-08-14,-5,987,wod_score,w017
m092,2026-08-14,-4,1074,wod_score,w017
m103,2026-08-14,-7,1070,wod_score,w017
m145,2026-08-14,-6,956,wod_score,w017
m135,2026-08-14,-5,981,wod_score,w017
m141,2026-08-14,-7,949,wod_score,w017
m126,2026-08-14,-9,1015,wod_score,w017
m137,2026-08-14,-10,1038,wod_score,w017
m149,2026-08-14,-11,917,wod_score,w017
m146,2026-08-14,-12,956,wod_score,w017
m134,2026-08-14,-12,981,wod_score,w017
m139,2026-08-14,-10,987,wod_score,w017
m099,2026-08-17,26,1079,match_win,t001-wb001
m008,2026-08-17,-26,1270,match_loss,t001-wb001
m019,2026-08-17,14,1208,match_win,t001-wb002
m077,2026-08-17,-14,1137,match_loss,t001-wb002
m018,2026-08-17,8,1189,match_win,t001-wb003
m147,2026-08-17,-8,984,match_loss,t001-wb003
m022,2026-08-17,12,1211,match_win,t001-wb004
m013,2026-08-17,-12,1105,match_loss,t001-wb004
m049,2026-08-17,6,1194,match_win,t001-wb005
