member_ref,mouvement,total_reps
m027,toes_to_bar,1291
m027,snatch,711
m028,deadlift,6763
m028,pull_up,371
m028,box_jump,1485
m028,hspu,1048
m028,chest_to_bar,347
m028,ring_muscle_up,533
m028,toes_to_bar,913
m029,box_jump,694
m029,snatch,7025
m029,clean_and_jerk,7250
m029,double_under,14073
m030,ring_muscle_up,415
m030,wall_ball,2564
m030,pull_up,851
m030,box_jump,1359
m030,clean_and_jerk,3822
m030,toes_to_bar,1325
m030,snatch,1815
m031,pull_up,322
m031,ring_muscle_up,622
m031,double_under,12378
m031,deadlift,760
m031,snatch,515
m031,clean_and_jerk,7120
m032,ring_muscle_up,54
m032,chest_to_bar,456
m032,wall_ball,538
m032,toes_to_bar,1115
m032,squat,5692
m032,clean_and_jerk,7106
m032,box_jump,1180
m033,hspu,1498
m033,double_under,11284
m033,wall_ball,701
m033,pull_up,5620
m033,chest_to_bar,1471
m034,clean_and_jerk,339
m034,snatch,1864
m034,squat,5666
m034,pull_up,168
m035,ring_muscle_up,592
m035,hspu,1074
m035,toes_to_bar,169
m035,pull_up,2256
m035,clean_and_jerk,521
m036,clean_and_jerk,6358
m036,box_jump,1199
m036,deadlift,3162
m036,ring_muscle_up,588
m037,pull_up,4551
m037,squat,5036
m037,hspu,1381
m037,wall_ball,6646
m038,hspu,936
m038,box_jump,853
m038,clean_and_jerk,5683
m038,toes_to_bar,936
m038,squat,616
m038,chest_to_bar,847
m039,double_under,7202
m039,wall_ball,845
m039,toes_to_bar,529
m039,pull_up,448
m039,hspu,312
m040,box_jump,1093
m040,snatch,6226
m040,double_under,12571
m040,ring_muscle_up,58
m040,hspu,720
m040,wall_ball,247
m041,ring_muscle_up,659
m041,snatch,160
m042,hspu,560
m042,chest_to_bar,1197
m042,ring_muscle_up,61
m042,clean_and_jerk,1739
m043,toes_to_bar,262
m043,wall_ball,329
m044,deadlift,4874
m044,toes_to_bar,1234
m044,wall_ball,2359
m044,snatch,748
m044,pull_up,312
m044,double_under,10891
m044,clean_and_jerk,412
m045,squat,2590
m045,clean_and_jerk,6886
m045,toes_to_bar,914
m045,double_under,8247
m045,snatch,320
m045,ring_muscle_up,331
m046,chest_to_bar,162
m046,clean_and_jerk,256
m046,double_under,634
m046,box_jump,883
m047,chest_to_bar,1215
m047,squat,6044
m048,pull_up,4690
m048,chest_to_bar,951
m048,snatch,238
m048,toes_to_bar,735
m048,ring_muscle_up,653
m049,wall_ball,2900
m049,snatch,1102
m049,toes_to_bar,1208
m049,squat,5720
m050,chest_to_bar,1430
m050,deadlift,757
m050,wall_ball,6746
m050,ring_muscle_up,696
m050,double_under,5400
m050,clean_and_jerk,1195
m050,pull_up,6107
m051,box_jump,1456
m051,toes_to_bar,1436
m051,deadlift,333
m051,clean_and_jerk,2975
m052,chest_to_bar,684
m052,ring_muscle_up,590
m052,double_under,11847
m052,squat,4283
m053,double_under,13270
m053,squat,302
m054,wall_ball,5432
m054,clean_and_jerk,752
m054,deadlift,875
m055,toes_to_bar,1270
m055,hspu,758
m055,clean_and_jerk,5584
m055,double_under,2190
m055,chest_to_bar,1149
m055,deadlift,767
m055,snatch,5366
m056,toes_to_bar,968
m056,squat,6384
m056,pull_up,442
m056,hspu,1026
m056,double_under,8893
m056,snatch,680
m056,clean_and_jerk,714
m057,double_under,1748
m057,wall_ball,567
m057,squat,414
m058,wall_ball,888
m058,double_under,4898
m058,hspu,1004
m058,ring_muscle_up,416
m058,toes_to_bar,1423
m059,wall_ball,408
m059,squat,299
m059,clean_and_jerk,7434
m060,box_jump,1024
m060,deadlift,2316
m060,squat,1126
m060,snatch,694
m060,chest_to_bar,499
m061,clean_and_jerk,2339
m061,pull_up,7163
m061,chest_to_bar,1416
m062,squat,459
m062,wall_ball,6940
m063,ring_muscle_up,571
m063,wall_ball,7158
m064,chest_to_bar,258
m064,ring_muscle_up,633
m064,box_jump,488
m064,double_under,11483
m064,pull_up,7478
m064,toes_to_bar,1001
m065,snatch,7065
m065,chest_to_bar,1174
m066,box_jump,1041
m066,toes_to_bar,470
m066,pull_up,136
m067,ring_muscle_up,410
m067,toes_to_bar,1486
m068,toes_to_bar,1478
m068,wall_ball,7283
m068,hspu,1382
m068,chest_to_bar,370
m068,box_jump,1230
m068,ring_muscle_up,124
m068,snatch,6704
m069,clean_and_jerk,526
m069,wall_ball,4435
m069,toes_to_bar,1292
m069,snatch,6884
m070,chest_to_bar,546
m070,box_jump,1409
m070,squat,5017
m070,hspu,1406
m070,ring_muscle_up,549
m070,clean_and_jerk,7222
m071,toes_to_bar,472
m071,clean_and_jerk,129
m071,squat,118
m071,pull_up,473
m072,snatch,6700
m072,clean_and_jerk,439
m072,pull_up,160
m072,box_jump,1056
m072,ring_muscle_up,684
m072,deadlift,2664
m073,pull_up,632
m073,double_under,11217
m073,deadlift,5242
m073,chest_to_bar,382
m074,hspu,1340
m074,pull_up,6920
m074,ring_muscle_up,80
m074,squat,5474
m074,double_under,2897
m074,deadlift,6961
m075,deadlift,5873
m075,wall_ball,5081
m075,pull_up,704
m076,toes_to_bar,1158
m076,snatch,3926
m077,snatch,631
m077,pull_up,414
m077,double_under,5928
m077,ring_muscle_up,701
m077,hspu,1178
m077,chest_to_bar,1407
m077,squat,6882
m078,chest_to_bar,1124
m078,pull_up,152
m078,toes_to_bar,1332
m078,snatch,244
m078,squat,816
m078,wall_ball,5163
m079,hspu,816
m079,chest_to_bar,1022
m079,squat,3457
m079,deadlift,1458
m079,ring_muscle_up,309
m079,wall_ball,389
m080,double_under,11093
m080,deadlift,7322
m080,squat,291
m080,ring_muscle_up,103
m081,pull_up,5660
m081,toes_to_bar,1184
m081,ring_muscle_up,52
m082,chest_to_bar,233
m082,pull_up,6567
m082,clean_and_jerk,6100
m082,double_under,2348
m083,squat,7062
m083,ring_muscle_up,650
m083,toes_to_bar,1440
m083,double_under,14412
m083,box_jump,834
m083,snatch,5416
m084,deadlift,6703
m084,pull_up,7207
m084,chest_to_bar,1201
m085,wall_ball,5908
m085,snatch,503
m086,ring_muscle_up,598
m086,pull_up,772
m086,box_jump,1053
m086,toes_to_bar,1300
m086,wall_ball,7398
m086,double_under,5538
m087,hspu,1028
m087,chest_to_bar,1269
m087,snatch,247
m087,deadlift,5017
m087,toes_to_bar,1027
m087,double_under,9836
m087,ring_muscle_up,707
m088,ring_muscle_up,387
m088,toes_to_bar,858
m088,wall_ball,435
m088,snatch,5784
m088,deadlift,4477
m088,double_under,10338
m089,clean_and_jerk,5038
m089,snatch,351
m089,pull_up,3717
m089,chest_to_bar,491
m089,squat,1500
m090,toes_to_bar,1138
m090,hspu,1471
m090,chest_to_bar,1075
m090,clean_and_jerk,183
m090,pull_up,2756
m090,snatch,7043
m090,double_under,6498
m091,wall_ball,5267
m091,pull_up,6468
m091,toes_to_bar,921
m092,wall_ball,6539
m092,ring_muscle_up,526
m092,pull_up,887
m092,double_under,7432
m092,chest_to_bar,143
m093,ring_muscle_up,298
m093,clean_and_jerk,1820
m093,squat,2023
m093,toes_to_bar,288
m093,deadlift,3479
m093,box_jump,1302
m094,double_under,9859
m094,ring_muscle_up,662
m094,box_jump,1327
m094,pull_up,629
m094,clean_and_jerk,7304
m094,squat,125
m095,pull_up,7181
m095,ring_muscle_up,536
m095,squat,5239
m095,hspu,1102
m096,pull_up,869
m096,double_under,2910
m096,clean_and_jerk,1827
m096,deadlift,3464
m096,wall_ball,903
m096,ring_muscle_up,698
m097,snatch,3333
m097,ring_muscle_up,558
m097,squat,5927
m097,pull_up,381
m098,pull_up,7224
m098,double_under,8300
m098,ring_muscle_up,137
m098,clean_and_jerk,420
m099,wall_ball,5471
m099,hspu,1430
m100,chest_to_bar,306
m100,wall_ball,3022
m100,ring_muscle_up,531
m100,box_jump,549
m100,deadlift,3667
m100,squat,1675
m100,pull_up,601
m101,double_under,13159
m101,toes_to_bar,731
m102,chest_to_bar,1442
m102,squat,6651
m102,clean_and_jerk,6680
m102,pull_up,3266
m102,deadlift,214
m102,double_under,565
m102,hspu,1407
m103,snatch,990
m103,deadlift,1340
m104,snatch,6681
m104,chest_to_bar,327
m104,wall_ball,7427
m105,wall_ball,319
m105,hspu,1336
m105,toes_to_bar,1130
m105,chest_to_bar,999
m106,snatch,521
m106,ring_muscle_up,745
m106,squat,2185
m106,wall_ball,7241
m106,chest_to_bar,1263
m106,hspu,381
m106,toes_to_bar,770
m107,wall_ball,652
m107,squat,992
m107,chest_to_bar,1297
m108,squat,5801
m108,pull_up,145
m108,double_under,1745
m108,deadlift,212
m108,toes_to_bar,823
m108,ring_muscle_up,591
m108,snatch,5705
m109,snatch,205
m109,pull_up,635
m109,chest_to_bar,902
m109,squat,2647
m109,ring_muscle_up,614
m109,deadlift,617
m109,toes_to_bar,1048
m110,double_under,1134
m110,pull_up,5083
m110,wall_ball,143
m110,snatch,5782
m110,hspu,498
m110,toes_to_bar,1320
m110,chest_to_bar,1405
m111,hspu,151
m111,pull_up,4118
m111,squat,4312
m111,box_jump,458
m111,toes_to_bar,716
m111,ring_muscle_up,301
m111,wall_ball,749
m112,double_under,4416
m112,ring_muscle_up,364
m112,clean_and_jerk,234
m112,box_jump,302
m112,snatch,7265
m112,squat,7159
m113,squat,842
m113,pull_up,704
m113,ring_muscle_up,179
m113,clean_and_jerk,6171
m113,wall_ball,2566
m113,snatch,4951
m113,hspu,1292
m114,toes_to_bar,1128
m114,clean_and_jerk,316
m114,chest_to_bar,1123
m114,wall_ball,352
m115,chest_to_bar,166
m115,double_under,11265
m115,ring_muscle_up,285
m115,snatch,1613
m115,toes_to_bar,300
m115,wall_ball,661
m116,ring_muscle_up,71
m116,clean_and_jerk,1989
m116,box_jump,107
m116,snatch,5684
m116,pull_up,3908
m117,hspu,1335
m117,wall_ball,5086
m117,pull_up,991
m117,toes_to_bar,106
m118,ring_muscle_up,81
m118,double_under,14223
m118,deadlift,805
m118,clean_and_jerk,2248
m118,squat,6240
m118,wall_ball,680
m119,deadlift,669
m119,hspu,279
m119,clean_and_jerk,672
m119,wall_ball,6168
m119,pull_up,343
m120,double_under,5963
m120,ring_muscle_up,116
m121,deadlift,553
m121,double_under,12291
m121,chest_to_bar,908
m121,pull_up,4709
m121,clean_and_jerk,5237
m122,pull_up,2504
m122,toes_to_bar,1004
m123,ring_muscle_up,165
m123,box_jump,1279
m123,squat,446
m123,snatch,4192
m123,chest_to_bar,1290
m124,box_jump,156
m124,double_under,743
m125,double_under,935
m125,wall_ball,7385
m125,chest_to_bar,1072
m126,clean_and_jerk,6916
m126,pull_up,305
m126,squat,2955
m126,ring_muscle_up,638
m127,toes_to_bar,1265
m127,clean_and_jerk,852
m127,ring_muscle_up,184
m127,pull_up,6770
m127,wall_ball,432
m128,clean_and_jerk,6592
m128,pull_up,5762
m128,deadlift,581
m128,ring_muscle_up,700
m129,hspu,1262
m129,box_jump,101
m129,pull_up,318
m129,chest_to_bar,1268
m130,wall_ball,5716
m130,ring_muscle_up,632
m131,chest_to_bar,235
m131,wall_ball,246
m132,double_under,1503
m132,snatch,679
m132,pull_up,4100
m132,toes_to_bar,1353
m133,deadlift,467
m133,hspu,1130
m133,box_jump,1447
m134,snatch,222
m134,double_under,1506
m134,box_jump,1188
m134,pull_up,2722
m134,deadlift,300
m134,toes_to_bar,1309
m135,squat,7260
m135,clean_and_jerk,2612
m135,toes_to_bar,822
m135,ring_muscle_up,118
m135,pull_up,1577
m136,wall_ball,110
m136,squat,5131
m136,pull_up,5782
m136,ring_muscle_up,742
m137,pull_up,4324
m137,clean_and_jerk,309
m137,hspu,1364
m137,squat,845
m137,toes_to_bar,643
m137,box_jump,1283
m137,chest_to_bar,1320
m138,deadlift,568
m138,pull_up,557
m138,wall_ball,5564
m139,deadlift,3355
m139,chest_to_bar,307
m139,hspu,1022
m140,clean_and_jerk,3562
m140,pull_up,3497
m140,box_jump,1478
m140,squat,1008
m140,snatch,983
m140,wall_ball,6617
m141,squat,7426
m141,toes_to_bar,683
m141,wall_ball,576
m141,hspu,1455
m141,double_under,6212
m141,clean_and_jerk,6128
m142,toes_to_bar,443
m142,deadlift,6531
m142,pull_up,110
m142,squat,5535
m142,box_jump,1100
m143,squat,827
m143,toes_to_bar,1463
m144,ring_muscle_up,721
m144,clean_and_jerk,5822
m144,chest_to_bar,499
m144,deadlift,1231
m145,toes_to_bar,279
m145,clean_and_jerk,341
m145,deadlift,160
m146,squat,6357
m146,box_jump,1098
m146,hspu,1282
m146,wall_ball,5702
m146,pull_up,715
m147,chest_to_bar,958
m147,pull_up,6076
m147,ring_muscle_up,593
m147,clean_and_jerk,6764
m147,squat,729
m148,chest_to_bar,589
m148,clean_and_jerk,1193
m148,deadlift,678
m148,toes_to_bar,1135
m148,pull_up,560
m148,wall_ball,5050
m148,squat,161
m149,pull_up,4637
m149,ring_muscle_up,108
m149,chest_to_bar,1348
m149,toes_to_bar,285
m150,chest_to_bar,667
m150,pull_up,4601
m150,hspu,1156
