slot_ref,box_id,jour,heure,type,capacite
s0038,d3d0b0a0-0000-4000-a000-000000000001,2026-08-31,18:30,WOD,20
s0039,d3d0b0a0-0000-4000-a000-000000000001,2026-08-31,19:30,WOD,20
s0040,d3d0b0a0-0000-4000-a000-000000000001,2026-09-01,06:30,WOD,20
s0041,d3d0b0a0-0000-4000-a000-000000000001,2026-09-01,07:30,WOD,20
s0042,d3d0b0a0-0000-4000-a000-000000000001,2026-09-01,12:15,WOD,20
s0043,d3d0b0a0-0000-4000-a000-000000000001,2026-09-01,17:30,WOD,20
s0044,d3d0b0a0-0000-4000-a000-000000000001,2026-09-01,18:30,WOD,20
s0045,d3d0b0a0-0000-4000-a000-000000000001,2026-09-01,19:30,WOD,20
s0046,d3d0b0a0-0000-4000-a000-000000000001,2026-09-02,06:30,WOD,20
s0047,d3d0b0a0-0000-4000-a000-000000000001,2026-09-02,07:30,WOD,20
s0048,d3d0b0a0-0000-4000-a000-000000000001,2026-09-02,12:15,WOD,20
s0049,d3d0b0a0-0000-4000-a000-000000000001,2026-09-02,17:30,WOD,20
s0050,d3d0b0a0-0000-4000-a000-000000000001,2026-09-02,18:30,WOD,20
s0051,d3d0b0a0-0000-4000-a000-000000000001,2026-09-02,19:30,WOD,20
s0052,d3d0b0a0-0000-4000-a000-000000000001,2026-09-03,06:30,WOD,20
s0053,d3d0b0a0-0000-4000-a000-000000000001,2026-09-03,07:30,WOD,20
s0054,d3d0b0a0-0000-4000-a000-000000000001,2026-09-03,12:15,WOD,20
s0055,d3d0b0a0-0000-4000-a000-000000000001,2026-09-03,17:30,WOD,20
s0056,d3d0b0a0-0000-4000-a000-000000000001,2026-09-03,18:30,WOD,20
s0057,d3d0b0a0-0000-4000-a000-000000000001,2026-09-03,19:30,WOD,20
s0058,d3d0b0a0-0000-4000-a000-000000000001,2026-09-04,06:30,WOD,20
s0059,d3d0b0a0-0000-4000-a000-000000000001,2026-09-04,07:30,WOD,20
s0060,d3d0b0a0-0000-4000-a000-000000000001,2026-09-04,12:15,WOD,20
s0061,d3d0b0a0-0000-4000-a000-000000000001,2026-09-04,17:30,WOD,20
s0062,d3d0b0a0-0000-4000-a000-000000000001,2026-09-04,18:30,WOD,20
s0063,d3d0b0a0-0000-4000-a000-000000000001,2026-09-04,19:30,WOD,20
s0064,d3d0b0a0-0000-4000-a000-000000000001,2026-09-05,10:00,WOD,20
s0065,d3d0b0a0-0000-4000-a000-000000000001,2026-09-05,11:15,WOD,20
s0066,d3d0b0a0-0000-4000-a000-000000000001,2026-09-06,10:00,WOD,15
s0067,d3d0b0a0-0000-4000-a000-000000000001,2026-09-07,06:30,WOD,20
s0068,d3d0b0a0-0000-4000-a000-000000000001,2026-09-07,07:30,WOD,20
s0069,d3d0b0a0-0000-4000-a000-000000000001,2026-09-07,12:15,WOD,20
s0070,d3d0b0a0-0000-4000-a000-000000000001,2026-09-07,17:30,WOD,20
s0071,d3d0b0a0-0000-4000-a000-000000000001,2026-09-07,18:30,WOD,20
s0072,d3d0b0a0-0000-4000-a000-000000000001,2026-09-07,19:30,WOD,20
s0073,d3d0b0a0-0000-4000-a000-000000000001,2026-09-08,06:30,WOD,20
s0074,d3d0b0a0-0000-4000-a000-000000000001,2026-09-08,07:30,WOD,20
s0075,d3d0b0a0-0000-4000-a000-000000000001,2026-09-08,12:15,WOD,20
s0076,d3d0b0a0-0000-4000-a000-000000000001,2026-09-08,17:30,WOD,20
s0077,d3d0b0a0-0000-4000-a000-000000000001,2026-09-08,18:30,WOD,20
s0078,d3d0b0a0-0000-4000-a000-000000000001,2026-09-08,19:30,WOD,20
s0079,d3d0b0a0-0000-4000-a000-000000000001,2026-09-09,06:30,WOD,20
s0080,d3d0b0a0-0000-4000-a000-000000000001,2026-09-09,07:30,WOD,20
s0081,d3d0b0a0-0000-4000-a000-000000000001,2026-09-09,12:15,WOD,20
s0082,d3d0b0a0-0000-4000-a000-000000000001,2026-09-09,17:30,WOD,20
s0083,d3d0b0a0-0000-4000-a000-000000000001,2026-09-09,18:30,WOD,20
s0084,d3d0b0a0-0000-4000-a000-000000000001,2026-09-09,19:30,WOD,20
s0085,d3d0b0a0-0000-4000-a000-000000000001,2026-09-10,06:30,WOD,20
s0086,d3d0b0a0-0000-4000-a000-000000000001,2026-09-10,07:30,WOD,20
s0087,d3d0b0a0-0000-4000-a000-000000000001,2026-09-10,12:15,WOD,20
s0088,d3d0b0a0-0000-4000-a000-000000000001,2026-09-10,17:30,WOD,20
s0089,d3d0b0a0-0000-4000-a000-000000000001,2026-09-10,18:30,WOD,20
s0090,d3d0b0a0-0000-4000-a000-000000000001,2026-09-10,19:30,WOD,20
s0091,d3d0b0a0-0000-4000-a000-000000000001,2026-09-11,06:30,WOD,20
s0092,d3d0b0a0-0000-4000-a000-000000000001,2026-09-11,07:30,WOD,20
s0093,d3d0b0a0-0000-4000-a000-000000000001,2026-09-11,12:15,WOD,20
s0094,d3d0b0a0-0000-4000-a000-000000000001,2026-09-11,17:30,WOD,20
s0095,d3d0b0a0-0000-4000-a000-000000000001,2026-09-11,18:30,WOD,20
s0096,d3d0b0a0-0000-4000-a000-000000000001,2026-09-11,19:30,WOD,20
s0097,d3d0b0a0-0000-4000-a000-000000000001,2026-09-12,10:00,WOD,20
s0098,d3d0b0a0-0000-4000-a000-000000000001,2026-09-12,11:15,WOD,20
s0099,d3d0b0a0-0000-4000-a000-000000000001,2026-09-13,10:00,WOD,15
s0100,d3d0b0a0-0000-4000-a000-000000000001,2026-09-14,06:30,WOD,20
s0101,d3d0b0a0-0000-4000-a000-000000000001,2026-09-14,07:30,WOD,20
s0102,d3d0b0a0-0000-4000-a000-000000000001,2026-09-14,12:15,WOD,20
s0103,d3d0b0a0-0000-4000-a000-000000000001,2026-09-14,17:30,WOD,20
s0104,d3d0b0a0-0000-4000-a000-000000000001,2026-09-14,18:30,WOD,20
s0105,d3d0b0a0-0000-4000-a000-000000000001,2026-09-14,19:30,WOD,20
s0106,d3d0b0a0-0000-4000-a000-000000000001,2026-09-15,06:30,WOD,20
s0107,d3d0b0a0-0000-4000-a000-000000000001,2026-09-15,07:30,WOD,20
s0108,d3d0b0a0-0000-4000-a000-000000000001,2026-09-15,12:15,WOD,20
s0109,d3d0b0a0-0000-4000-a000-000000000001,2026-09-15,17:30,WOD,20
s0110,d3d0b0a0-0000-4000-a000-000000000001,2026-09-15,18:30,WOD,20
s0111,d3d0b0a0-0000-4000-a000-000000000001,2026-09-15,19:30,WOD,20
s0112,d3d0b0a0-0000-4000-a000-000000000001,2026-09-16,06:30,WOD,20
s0113,d3d0b0a0-0000-4000-a000-000000000001,2026-09-16,07:30,WOD,20
s0114,d3d0b0a0-0000-4000-a000-000000000001,2026-09-16,12:15,WOD,20
s0115,d3d0b0a0-0000-4000-a000-000000000001,2026-09-16,17:30,WOD,20
s0116,d3d0b0a0-0000-4000-a000-000000000001,2026-09-16,18:30,WOD,20
s0117,d3d0b0a0-0000-4000-a000-000000000001,2026-09-16,19:30,WOD,20
s0118,d3d0b0a0-0000-4000-a000-000000000001,2026-09-17,06:30,WOD,20
s0119,d3d0b0a0-0000-4000-a000-000000000001,2026-09-17,07:30,WOD,20
s0120,d3d0b0a0-0000-4000-a000-000000000001,2026-09-17,12:15,WOD,20
s0121,d3d0b0a0-0000-4000-a000-000000000001,2026-09-17,17:30,WOD,20
s0122,d3d0b0a0-0000-4000-a000-000000000001,2026-09-17,18:30,WOD,20
s0123,d3d0b0a0-0000-4000-a000-000000000001,2026-09-17,19:30,WOD,20
s0124,d3d0b0a0-0000-4000-a000-000000000001,2026-09-18,06:30,WOD,20
s0125,d3d0b0a0-0000-4000-a000-000000000001,2026-09-18,07:30,WOD,20
s0126,d3d0b0a0-0000-4000-a000-000000000001,2026-09-18,12:15,WOD,20
s0127,d3d0b0a0-0000-4000-a000-000000000001,2026-09-18,17:30,WOD,20
s0128,d3d0b0a0-0000-4000-a000-000000000001,2026-09-18,18:30,WOD,20
s0129,d3d0b0a0-0000-4000-a000-000000000001,2026-09-18,19:30,WOD,20
s0130,d3d0b0a0-0000-4000-a000-000000000001,2026-09-19,10:00,WOD,20
s0131,d3d0b0a0-0000-4000-a000-000000000001,2026-09-19,11:15,WOD,20
s0132,d3d0b0a0-0000-4000-a000-000000000001,2026-09-20,10:00,WOD,15
